Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
Line_3_29.jpg; T=300,1.652660276362527,3.249504945549226,2.962271429966077,4.87042065549026,3.4028382633834173,3.349018313701414,4.811754558744185,4.53102926676527,11.371773033097107,12.738915898224153,26.794895337892083,14.472948615846207,5.791969404978061,0.0
Line_3_44.jpg; T=300,1.1670091129985734,3.524335323574621,3.2015617533774194,5.068559590410623,3.4502916598512674,3.4418805913894417,4.205100782117932,4.7691128268876595,11.453364278461535,13.256852501076589,26.6775421093818,14.044637343477847,5.7397521269946985,0.0
Line_3_45.jpg; T=300,1.2152234819330847,3.9060471049279295,3.4445943075120486,5.3284035701436565,2.7297446450728766,4.5003627495271115,4.381245494608155,5.040501591296648,11.873299845958678,13.132492250600558,26.180427138951146,12.851883072993244,5.415774746474869,0.0
Line_3_4.jpg; T=300,1.2840526662437004,4.0966318187974045,3.5559205094153765,4.511122312524115,3.5872672591392565,3.5044674642518614,4.219761590959242,4.806756957786972,10.738335027734797,12.90754091463095,25.81351941934853,14.584185502608902,6.390438556558897,0.0
Line_3_22.jpg; T=300,1.1887493391043047,3.7690191387808056,3.082056871298388,3.836004580806053,2.3341005759361098,3.1644512837785648,3.97268550163852,4.737553232128082,11.228049746257179,13.633158217981556,29.10963946917623,14.762634114771776,5.181897928342435,0.0
Line_3_28.jpg; T=300,1.3314434317681365,2.4260485749295957,2.596149155849872,3.5233010865795533,2.571490338236034,2.6818667543814474,4.073181236793575,4.7180168162852505,11.054401078201225,13.989482705705946,28.95505694352315,15.663116533363477,6.416445344382741,0.0
Line_3_57.jpg; T=300,1.2623797172358535,2.9090441605228428,3.2899936050359138,3.604796611431274,3.804037030908245,2.9046891362965446,4.759374487596864,4.622077859496021,11.87999427863756,14.159103880749688,27.93623910860913,13.571822562017331,5.296447561462716,0.0
Line_3_6.jpg; T=300,1.273204797874616,4.11517515307939,4.620316810575751,4.823147063839918,3.7775400327676296,3.638157754148816,5.1992356002023365,4.8403872365105975,11.117602169780225,12.878528788291199,24.44183451202421,13.51394200689296,5.7609280740123525,0.0
Line_3_60.jpg; T=300,1.3160079785319099,3.226001416289042,3.485068092045203,4.395329075683199,2.6605776955018063,3.5380919430925006,4.321232293542144,4.1665390391437365,10.629117462869797,12.76243738558033,26.591188157466817,16.089500880506037,6.818908579747496,0.0
Line_3_11.jpg; T=300,1.371233869065337,4.488560492947954,3.9173986536717296,5.015888043512059,3.976104933631036,3.8321679393211334,4.5211613768725405,4.228531291158743,11.954544817441013,12.60896422500557,24.86115115179675,13.524050155194411,5.700243050381728,0.0
