Location,0 mm,0.063 mm,0.125 mm ,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm ,8 mm
R01_A,0,0.024416049483221514,0.048832098966414605,0.45739399365183431,3.1838528526084531,9.3936681045006907,16.090176609424603,24.904370472857508,32.355334906812089,53.210710507039963,69.992675185155051,93.513469520631546,98.832098966387193,99.99186131683895
R01_B,0,0,0.066432985725640492,1.2639749652537944,6.9160234613333813,18.872212655483779,30.667564094719452,45.188416185173196,54.698822562739821,74.895324341570415,87.989615475389201,98.448440136012763,99.763988077027264,100
R01_C,0,0.012386252910758344,0.070188766494368338,0.62674439728495202,3.4095225512378136,8.8594738319763735,15.27390133936683,25.637066274710591,33.403246849762994,48.630080428068872,58.819837822661832,82.097735792967882,97.080973064028612,99.995871249029747
R01_D,0,0.0041503764391421782,0.039013538527939318,1.138033219613007,6.9103767711731336,18.748910526184716,29.43031932996324,41.961135875023878,49.178640502693604,62.891484257622182,74.151455537017227,92.869653277552288,98.240240389803404,99.132571324219143
R01_E,0,0,0.071150182223519209,2.8886973982749993,15.618255555643401,28.11222755409392,36.667641687682348,45.439668598262386,51.258172388985997,66.911212478160905,77.16079150624941,92.746634201102069,98.675816053062263,100
R02_A,0,0.0042326609046057229,0.056717656121691107,0.99636837694384894,5.4999195794428033,13.194897104013407,19.523571688577732,25.340094303684921,28.806643584555815,36.683625528024393,44.0907821110819,66.968314300468052,95.416028240313494,99.788366954769785
R02_B,0,0.021282391800298228,0.045118670616645318,0.63932304968159315,4.2913814826165151,13.008649164027631,22.059624748867762,34.037354854087909,43.12067967446454,58.844110736541026,68.489290700446077,87.422106446010787,96.965130929274352,99.77866312527668
R02_C,0,0.0084636739115637738,0.0084636739115637738,0.33854695646283517,3.0486153429480396,8.7852935202112405,15.42758480601259,23.50954702417225,32.00707563139008,57.114564290067023,72.459205091746185,92.061073870945862,99.098618728417591,100
R02_D,0,0,0.0229121319738681,0.47460844803035229,3.5415609708197593,10.878352945027245,17.89764823331096,26.092008575683678,31.566371536585763,45.190907156768084,58.128078817733993,84.407475901346913,96.735021193722076,100
R03_A,0,0.069054812257206777,0.19853258523951922,2.8899438929650216,12.673284419507965,26.672421234354758,36.371169615882579,45.856711264566201,52.347863616745727,64.238239102287352,70.621493310315003,84.009495036685294,95.282693137677953,99.408718170047479
R03_B,0,0.063362254682459707,0.1596728817998212,0.93522687911327296,4.5713754678246517,11.610499548015909,17.509103043922707,23.897707976040593,27.72056400854963,35.826708457593696,42.234744481147587,61.082903174026512,83.365296070695337,93.486360218641991
R03_C,-1.4210854715202004e-14,0.01322623025983205,0.037915193411549808,0.38179718016769471,2.9247603847951069,10.079269206690697,16.045180802567657,27.502623202334874,35.310507799067082,49.334720617929463,60.991438220278475,85.750941266720176,97.006463217853664,100
R05_A,0,0,0.037876396692141157,0.14970194883079557,0.9956081416216449,4.0563817219331355,7.6384066662458281,13.429888084265983,17.190473184412994,24.035279158061854,31.506849315068507,63.277931588013018,92.767411869741281,100
R05_B,0,0,0.068806954537052434,0.56555960192656585,4.5999966435631592,15.382549885041996,26.601439911390031,45.688656921811749,57.70050514373937,74.340040612885332,80.994176582140369,90.732038867538165,96.907882591840448,99.551076577105775
R05_C,0,0,0.015591705212813167,0.29450998735336498,1.4604230549347506,4.5042703948165865,8.1198135925020836,15.87408831834793,24.925939400239059,50.327425809469332,67.729501238674345,89.731129705663193,98.202622871299099,99.311366353100141
R07_A,0,0,0.062428467381124619,2.9485445363085461,16.341851884459317,34.231609613983991,44.865258557902429,52.866507127250046,56.592206045956956,62.418863001528699,67.517187837653978,84.344861256733054,95.449925165875641,98.559343060435552
R07_B,0,0.034530982924437126,0.13294428425906801,2.5414803432379784,11.709456309673868,28.93696369067149,46.252525078126389,66.17258585265634,75.638391546815456,85.04808439372232,90.137088002210021,97.60009668675221,99.60721006923464,99.995683627134454
R07_C,0,0,0,0.37560741445666679,2.5214542575858303,9.1526936778366235,18.526035657439309,33.662340724770715,43.107267077083733,58.375792691656621,67.669128607641852,87.417993784792117,97.262950455192396,100
R07_D,0,0.090653612546418572,0.12032206756163077,0.93290808547807558,4.5623490823381587,12.703043489010255,22.137612183845491,35.227993835554315,42.842897289456971,59.580850660535191,69.441491334338792,87.489801468588553,98.244616411600362,100
R07_E,0,0.051289942042373582,0.12480552563641822,1.3523448051836766,5.8402147338906616,12.695970320220169,19.956916448684382,31.421073327520446,40.918260929031788,61.959959651912229,72.709476671624657,90.660956386452597,98.431382605870951,99.995725838163139
R08_A,0,0.016689197082698115,0.025033795624054278,1.0797910512524993,4.7447387306196447,10.646038819072373,15.934845374588988,23.638578747976396,29.200253675795636,43.486206378611122,60.404879921226978,91.221482334484904,99.369982810127013,99.995827700729322
R08_B,0,0.025298522566302495,0.025298522566302495,0.82810497200298983,5.8760035080617996,16.164069351683182,27.346016325979889,42.420562639141856,54.54698778924643,74.604499763880426,83.838460500573376,95.210146394117203,99.31693989071033,99.99578357957229
R08_C,0,0.0043191693373501039,0.021595846686750519,0.6107305443017168,2.7875918903276613,7.4747544552231773,12.81670309166141,23.352020939332945,33.070151948377287,52.912415884177157,65.697157122742112,89.1632041325812,97.745393605901697,99.99568083066265
R08_D,0,0.01163819189048354,0.041121611346440545,1.850472510590734,9.2771906956534878,20.570892106202336,30.333007463960371,41.537482736682001,49.241965768198206,64.127213196157797,72.743354592430478,89.905808233632783,98.409447108297201,100
R08_E,0,0.024862427898952433,0.051382350991190151,1.2712988132334573,5.1713850029835129,11.443346814294259,17.771663462175965,28.537094742425225,37.073194987734517,53.0307299608831,63.369356228866934,85.190280448186712,97.447457402373502,100
R09_A,0,0,0.093779306033141552,1.7366538154284399,7.5943871348685263,17.243235733388914,25.626063700461955,39.590497030321984,50.253551457052538,72.278663471223624,85.959153902261107,97.711958598172998,99.704768851377139,100
R09_B,0,0.024801587301610084,0.059523809523838622,1.4930555555555713,7.2139550264550252,14.91402116402115,21.162367724867721,29.315476190476204,35.784556878306887,51.339285714285715,61.673280423280424,83.870701058201064,97.420634920634924,99.995866402116405
R09_C,0,0,0.027919556777035837,0.94054006892639563,3.3049775334816331,6.9397548313920225,9.8189591240238911,15.041661213628231,19.687649958556946,34.371591850979428,48.353182393229545,79.04288269423725,97.269118352746162,100
R09_D,0,0.050166320647676343,0.12271453819971612,2.1818490534001143,8.1678487909916697,15.526090345684537,20.709428952913129,28.96063101513478,35.899019055483947,54.645787186749899,66.7358704628422,85.864674420578993,96.689022837252722,99.286094667705996
R10_A,0,0.027687244881832385,0.053001297345190324,0.6589564281871958,2.6192133658196899,6.2217194570135632,9.7799259563965251,19.536911052748152,30.801664398949455,56.993798057146478,69.279024143277525,93.090054741638482,98.659146283580725,100
R10_B,0,0.016962952910830609,0.03731849640384155,0.48514045325008226,1.6250508888587092,3.3858054010041769,4.420545528565583,7.5688695888179893,10.969941647441942,20.609139639028328,28.971875424073758,62.172615008820685,92.926448636178549,99.164574569140981
R10_C,1.4210854715202004e-14,1.4210854715202004e-14,0.029720380751115272,0.9989350196897675,3.2263124437583315,6.1834903284928089,8.5743298466924074,14.586927985866339,22.727010047139871,49.776684361300838,64.711175688728616,88.120103360879824,98.059919589858822,99.995872169340132
R10_D,2.8421709430404007e-14,0.03876202699558462,0.13006813502965997,1.5237783501158333,3.7668076455944686,5.9960548870302119,7.5310311560559171,13.18167331363648,21.338926550265711,46.633302610837838,59.248188951960898,76.828921640408936,89.577321630072419,96.808593110695696
R10_E,0,0.046799316729973839,0.28859578650151718,1.6457759716708011,2.8921977739124998,3.6690664316300996,4.264977731325132,6.3428673941360643,13.093668832435071,47.288369589804013,65.735100267536097,87.40318391351488,95.76076189287636,98.65451964401322
