Point ID,Date,Time,Easting,Northing,Elevation,Accuracy (?),Accuracy (?),Distance
TR0400101    ,26/10/2022,14:42:40,116109.011,558932.41700000002,-1.119,0.01,0.01,128.06574763946574
TR0400102    ,26/10/2022,14:42:41,116109.408,558931.89800000004,-1.1379999999999999,0.01,0.01,128.71917705414481
TR0400103    ,26/10/2022,14:42:42,116109.63499999999,558931.25600000005,-1.1080000000000001,0.01,0.01,129.4001271257286
TR0400104    ,26/10/2022,14:42:43,116110.057,558930.52399999998,-1.1220000000000001,0.01,0.01,130.24505789219222
TR0400105    ,26/10/2022,14:42:44,116110.512,558929.96600000001,-1.1439999999999999,0.01,0.01,130.96505025323358
TR0400106    ,26/10/2022,14:42:45,116110.90300000001,558929.19499999995,-1.1479999999999999,0.01,0.01,131.82952813039674
TR0400107    ,26/10/2022,14:42:46,116111.251,558928.39399999997,-1.1499999999999999,0.01,0.01,132.70285796497407
TR0400108    ,26/10/2022,14:42:47,116111.516,558927.91599999997,-1.161,0.01,0.01,133.24940073548922
TR0400109    ,26/10/2022,14:42:48,116111.93799999999,558927.21600000001,-1.1799999999999999,0.01,0.01,134.06676479141996
TR0400110    ,26/10/2022,14:42:49,116112.341,558926.33799999999,-1.1639999999999999,0.01,0.01,135.03283569981664
TR0400111    ,26/10/2022,14:42:49,116112.814,558925.57900000003,-1.1830000000000001,0.01,0.01,135.92715667124708
TR0400112    ,26/10/2022,14:42:51,116113.255,558925.12199999997,-1.194,0.01,0.01,136.56223934307332
TR0400113    ,26/10/2022,14:42:52,116113.715,558924.47199999995,-1.1799999999999999,0.01,0.01,137.35854330515235
TR0400114    ,26/10/2022,14:42:52,116114.069,558923.92599999998,-1.2190000000000001,0.01,0.01,138.00925983327747
TR0400115    ,26/10/2022,14:42:54,116114.514,558923.17200000002,-1.2110000000000001,0.01,0.01,138.88478310534319
TR0400116    ,26/10/2022,14:42:55,116115.061,558922.90300000005,-1.2230000000000001,0.01,0.01,139.49434852430244
TR0400117    ,26/10/2022,14:42:56,116115.673,558922.34499999997,-1.222,0.01,0.01,140.32254415341345
TR0400118    ,26/10/2022,14:42:57,116116.213,558921.84900000005,-1.2470000000000001,0.01,0.01,141.05576717537593
TR0400119    ,26/10/2022,14:42:58,116116.749,558921.39099999995,-1.2490000000000001,0.01,0.01,141.76079199769384
TR0400120    ,26/10/2022,14:42:59,116117.268,558920.91000000003,-1.2689999999999999,0.01,0.01,142.46840912574828
TR0400121    ,26/10/2022,14:42:60,116117.731,558920.43099999998,-1.264,0.01,0.01,143.13459978918578
TR0400122    ,26/10/2022,14:43:01,116118.315,558919.83999999997,-1.3100000000000001,0.01,0.01,143.96546500089019
TR0400123    ,26/10/2022,14:43:02,116118.97,558919.5,-1.3140000000000001,0.01,0.01,144.70345212813314
TR0400124    ,26/10/2022,14:43:03,116119.44,558918.87899999996,-1.341,0.01,0.01,145.482259549807
TR0400125    ,26/10/2022,14:43:04,116120.09,558918.51599999995,-1.351,0.01,0.01,146.22675199436316
TR0400126    ,26/10/2022,14:43:05,116120.72500000001,558917.87800000003,-1.349,0.01,0.01,147.12690142635122
TR0400127    ,26/10/2022,14:43:06,116121.34299999999,558917.44700000004,-1.3720000000000001,0.01,0.01,147.8803501638042
