Point ID,Date,Time,Easting ,Northing,Elevation,Accuracy (?),Accuracy (?)
TR0600055    ,26/10/2022,13:39:28,115379.31299999999,558244.04599999997,-0.52700000000000002,0.01,0.01
TR0600056    ,26/10/2022,13:39:28,115380.41800000001,558243.25100000005,-0.53900000000000003,0.01,0.01
TR0600057    ,26/10/2022,13:39:30,115381.527,558242.47600000002,-0.54800000000000004,0.01,0.01
TR0600058    ,26/10/2022,13:39:31,115382.586,558241.66500000004,-0.54800000000000004,0.01,0.01
TR0600059    ,26/10/2022,13:39:32,115383.69899999999,558240.84900000005,-0.55500000000000005,0.01,0.01
TR0600060    ,26/10/2022,13:39:33,115384.735,558240.02300000004,-0.57199999999999995,0.01,0.01
TR0600061    ,26/10/2022,13:39:34,115385.871,558239.24699999997,-0.58299999999999996,0.01,0.01
TR0600062    ,26/10/2022,13:39:35,115387.02899999999,558238.40399999998,-0.57599999999999996,0.01,0.01
TR0600063    ,26/10/2022,13:39:36,115388.148,558237.61800000002,-0.58799999999999997,0.01,0.02
TR0600064    ,26/10/2022,13:39:37,115389.24800000001,558236.82900000003,-0.59599999999999997,0.01,0.01
TR0600065    ,26/10/2022,13:39:38,115390.376,558236.18500000006,-0.60199999999999998,0.01,0.01
TR0600066    ,26/10/2022,13:39:39,115391.535,558235.50699999998,-0.61699999999999999,0.01,0.01
TR0600067    ,26/10/2022,13:39:40,115392.764,558234.90300000005,-0.623,0.01,0.01
TR0600068    ,26/10/2022,13:39:41,115393.868,558234.201,-0.63300000000000001,0.01,0.01
TR0600069    ,26/10/2022,13:39:42,115395.076,558233.57200000004,-0.64500000000000002,0.01,0.01
TR0600070    ,26/10/2022,13:39:43,115396.262,558233.027,-0.65600000000000003,0.01,0.01
TR0600071    ,26/10/2022,13:39:44,115397.31600000001,558232.51800000004,-0.66900000000000004,0.01,0.01
TR0600072    ,26/10/2022,13:39:44,115398.435,558232.05599999998,-0.67400000000000004,0.01,0.01
TR0600073    ,26/10/2022,13:39:46,115399.515,558231.66099999996,-0.67400000000000004,0.01,0.01
TR0600074    ,26/10/2022,13:39:47,115400.63099999999,558231.29000000004,-0.70799999999999996,0.01,0.01
TR0600075    ,26/10/2022,13:39:47,115401.674,558230.88600000006,-0.69799999999999995,0.01,0.01
TR0600076    ,26/10/2022,13:39:49,115402.727,558230.59299999999,-0.71799999999999997,0.01,0.01
TR0600077    ,26/10/2022,13:39:50,115403.74099999999,558230.26199999999,-0.71999999999999997,0.01,0.01
TR0600078    ,26/10/2022,13:39:51,115404.67,558229.85199999996,-0.70899999999999996,0.01,0.01
TR0600079    ,26/10/2022,13:39:52,115405.63099999999,558229.40000000002,-0.72999999999999998,0.01,0.01
TR0600080    ,26/10/2022,13:39:53,115406.51300000001,558229.09999999998,-0.754,0.01,0.01
TR0600081    ,26/10/2022,13:39:54,115407.42200000001,558228.55799999996,-0.76900000000000002,0.01,0.01
TR0600082    ,26/10/2022,13:39:55,115408.364,558228.07499999995,-0.76600000000000001,0.01,0.01
TR0600083    ,26/10/2022,13:39:56,115409.44,558227.61100000003,-0.80300000000000005,0.01,0.01
TR0600084    ,26/10/2022,13:39:57,115410.428,558227.14599999995,-0.80000000000000004,0.01,0.01
TR0600085    ,26/10/2022,13:39:58,115411.424,558226.62800000003,-0.82099999999999995,0.01,0.01
TR0600086    ,26/10/2022,13:39:59,115412.37,558226.11600000004,-0.84199999999999997,0.01,0.01
TR0600087    ,26/10/2022,13:40:00,115413.28,558225.80700000003,-0.86899999999999999,0.01,0.01
TR0600088    ,26/10/2022,13:40:01,115414.18700000001,558225.43000000005,-0.89100000000000001,0.01,0.01
TR0600089    ,26/10/2022,13:40:02,115415.251,558225.06400000001,-0.878,0.01,0.01
TR0600090    ,26/10/2022,13:40:03,115415.993,558224.78700000001,-0.89400000000000002,0.01,0.01
TR0600091    ,26/10/2022,13:40:03,115416.821,558224.43200000003,-0.92800000000000005,0.01,0.01
TR0600092    ,26/10/2022,13:40:05,115417.818,558224.09900000005,-0.91600000000000004,0.01,0.01
TR0600093    ,26/10/2022,13:40:06,115418.568,558223.85499999998,-0.93799999999999994,0.01,0.01
TR0600094    ,26/10/2022,13:40:06,115419.46400000001,558223.59499999997,-0.92900000000000005,0.01,0.01
TR0600095    ,26/10/2022,13:40:08,115420.274,558223.37600000005,-0.97099999999999997,0.01,0.01
TR0600096    ,26/10/2022,13:40:09,115421.11599999999,558223.04099999997,-0.96999999999999997,0.01,0.01
TR0600097    ,26/10/2022,13:40:09,115421.89,558222.77899999998,-0.97699999999999998,0.01,0.01
TR0600098    ,26/10/2022,13:40:11,115422.79700000001,558222.53099999996,-0.98899999999999999,0.01,0.01
TR0600099    ,26/10/2022,13:40:12,115423.648,558222.201,-0.98799999999999999,0.01,0.01
TR0600100    ,26/10/2022,13:40:13,115424.433,558221.98899999994,-1.016,0.01,0.01
TR0600101    ,26/10/2022,13:40:14,115425.36,558221.80299999996,-1.016,0.01,0.01
TR0600102    ,26/10/2022,13:40:15,115426.13400000001,558221.63699999999,-1.044,0.01,0.02
TR0600103    ,26/10/2022,13:40:16,115426.995,558221.33700000006,-1.034,0.01,0.01
TR0600104    ,26/10/2022,13:40:17,115427.83,558221.03599999996,-1.0429999999999999,0.01,0.01
TR0600105    ,26/10/2022,13:40:18,115428.76300000001,558220.78799999994,-1.0469999999999999,0.01,0.01
TR0600106    ,26/10/2022,13:40:19,115429.679,558220.674,-1.056,0.01,0.01
TR0600107    ,26/10/2022,13:40:20,115430.52,558220.49800000002,-1.0700000000000001,0.01,0.01
TR0600108    ,26/10/2022,13:40:21,115431.412,558220.29599999997,-1.073,0.01,0.01
TR0600109    ,26/10/2022,13:40:22,115432.32799999999,558220.17299999995,-1.0820000000000001,0.01,0.01
TR0600110    ,26/10/2022,13:40:23,115433.156,558220.02899999998,-1.087,0.01,0.01
TR0600111    ,26/10/2022,13:40:24,115433.981,558219.97699999996,-1.1000000000000001,0.01,0.01
TR0600112    ,26/10/2022,13:40:25,115434.898,558219.81499999994,-1.1220000000000001,0.01,0.01
TR0600113    ,26/10/2022,13:40:25,115435.731,558219.78000000003,-1.117,0.01,0.01
TR0600114    ,26/10/2022,13:40:27,115436.58100000001,558219.58200000005,-1.1259999999999999,0.01,0.01
TR0600115    ,26/10/2022,13:40:28,115437.565,558219.44700000004,-1.113,0.01,0.01
