Image name,Resolution (mm/px)
R01_A,0.021435452793834298
R01_B,0.020159344501235948
R01_C,0.018207855973813417
R01_D,0.01895229982964225
R01_E,0.024132321041214752
R02_A,0.018358085808580855
R02_B,0.019297847724961334
R02_C,0.020340804270827382
R05_A,0.018887945670628185
R05_B,0.014776842491475702
R05_C,0.016432791728212704
R07_A,0.022208822138206116
R07_B,0.019217268445839875
R07_C,0.021574800861884839
R07_D,0.017950148809523808
R07_E,0.016017620276668185
R08_A,0.019698587774592064
R08_B,0.022031992672299973
R08_C,0.016235968998337794
R08_D,0.022397023707999317
R08_E,0.022651358720254054
R09_A,0.018697474576445477
R09_B,0.016854332815566992
R09_C,0.019975288303130147
R09_D,0.017360642030195848
R10_A,0.024347389558232933
R10_B,0.027125279642058169
R10_C,0.02249536178107607
R10_D,0.021729390681003585
R10_E,0.021160558464223385
