Image name,Resolution (mm/px)
R01_A,0.029487398395719077
R01_B,0.027826839552353794
R01_C,0.026728169542896387
R01_D,0.030245271867612295
R02_A,0.023680932971014493
R02_C,0.024758575191357476
R02_D,0.023670319919963424
R03_B,0.027537128712871287
R03_C,0.020679581795817959
R05_B,0.025964143491317405
R05_C,0.025547000232008774
R07_A,0.030527103754291844
R07_B,0.031201701809101867
R07_C,0.027833870618438582
R07_D,0.026223052775477883
R07_E,0.026821647175187015
R08_A,0.02377286789898685
R08_B,0.026280512082761377
R08_C,0.027248928497734741
R08_D,0.027221923935132616
R08_E,0.027279646687371137
R09_A,0.02820692002411922
R09_B,0.026331510701065392
R09_C,0.026826827494121019
R09_D,0.024294206377448575
R10_A,0.031803824630068325
R10_C,0.029042957544463566
R10_D,0.025571521661768366
R10_E,0.02833191387141859
