Image name,0 mm,0.063 mm,0.125 mm ,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm ,8 mm,Description
Loc_1_3.jpg,2.8421709430404007e-14,2.8421709430404007e-14,2.8421709430404007e-14,12.841942050375039,20.627627185031216,27.456879340686243,33.735139678162227,42.412047929462716,44.658891619741397,50.466021860333662,58.629854956759033,78.549464240408739,93.60583496701129,100,Top (12.6 cm)
Loc_1_4.jpg,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,9.9027613799063943,18.568708378044818,26.157084269364475,30.883311674757692,39.6994127213027,41.445141382033597,47.28578117847433,55.236504204373979,76.804505507243675,93.486034969445114,100,Top (10.3 cm)
Loc_1_5.jpg,-2.8421709430404007e-14,-2.8421709430404007e-14,-2.8421709430404007e-14,8.753344178502374,18.453383147445578,25.329295653526145,31.762389276110326,40.784187323916981,42.758035085543149,48.941307771474484,56.946586404660977,78.039539177681903,93.343223846687536,100,Top (6.35 cm)
Loc_1_6.jpg,0,0,0,0,13.244173117903841,24.750646653746514,35.155530471913906,44.51864685767314,46.907474047283216,54.962430888279954,64.44519674050224,85.62552407790443,96.367403049583857,100,Scraped top (15.7 cm)
Loc_1_7.jpg,0,0,0,8.5591144487016493,20.861908687916326,31.912207724610425,38.727415537637107,48.119733858811166,50.537136089406026,58.27349774413598,66.724950030822953,86.645605628193735,96.557052042070012,100,Scraped top (11.3 cm)
Loc_1_9.jpg,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,10.690506648329304,23.064889122673364,28.431379066856124,35.860406619896082,44.985640093115826,47.33626188082269,53.58981832090226,61.591662595347266,81.566473497779356,94.839375098497925,100,Top auto-hdr (9.44 cm)
Loc_1_13.jpg,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,14.408249525974412,22.815501102792538,29.99835414714434,36.529329986981629,45.503329358133222,47.810836888240246,53.693757725978521,61.784184214720092,81.012249412470482,94.60126039277624,100,Top flash (12.6 cm)
Loc_1_14.jpg,0,0,0,0,13.949827895803082,21.929493237462211,29.236796864257727,39.289218821234662,41.864827987372884,48.451997747919386,56.827332663166118,78.610084849515218,93.840338881013579,100,Top flash (12.7 cm)
Loc_1_15.jpg,0,0,0,10.569824529076669,22.586695459171366,30.277375671007491,37.279473916203671,43.671205213451479,46.40792220086621,52.293243415195015,60.301906002348318,80.374003540138546,94.35043833824993,100,Top flash (9.16 cm)
Loc_2_3.jpg,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,10.225765848846123,26.926872514454459,33.784251611309926,42.821446224294775,53.341353072164104,55.296056366127736,62.932211212891296,69.831406752364742,87.422587534874552,95.65316668507468,100,Top (10.0 cm)
Loc_2_5.jpg,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,16.047603836859707,29.97390511066159,41.625410909165971,51.849289350736839,60.701175177406917,63.924829497731409,71.626924199307368,78.872670771855184,93.408510350278277,97.781875885722854,100,Scraped top (14.2 cm)
Loc_2_6.jpg,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,14.669473621890944,32.809812989391503,42.635531879674431,51.196038184916794,62.331003383364731,65.012395362368522,72.285472817500818,79.455166853263151,93.459929007399339,97.703321527391324,100,Scraped top (12.2 cm)
Loc_2_10.jpg,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,15.493349928403433,24.399293554610409,32.52645305317661,43.575630417812874,45.440168911660123,53.641772932980814,62.040234340811878,83.953632417763046,94.729143518653927,100,5 cm depth (13.1 cm)
Loc_2_11.jpg,-1.4210854715202004e-14,-1.4210854715202004e-14,-1.4210854715202004e-14,12.811163374924291,23.638501232335955,32.770067275779923,38.29637024044743,48.332832432292484,50.260438002302578,57.448655629364183,64.996396217341925,84.834812048539163,95.047194354992001,100,5 cm depth (10.4 cm)
Loc_3_2.jpg,0,0,0,0,14.387242663387028,22.524738807299059,29.844308262940004,39.736074019414588,42.245113440140599,48.500772537116887,56.266666346326573,76.101171433607746,92.057841645868649,100,Top (13.0 cm)
Loc_3_5.jpg,0,0,0,19.531639174257322,35.146075329490941,43.355825790468025,53.865083856196939,62.758256431619436,65.585796521703116,71.006187970683385,77.676358936095284,90.420984839438944,96.820649163380963,100,Scraped top (10.7 cm)
Loc_4_1.jpg,1.4210854715202004e-14,1.4210854715202004e-14,1.4210854715202004e-14,14.513938057617978,32.953829240333249,41.660322779113002,49.118725261749958,57.735694022819743,60.3942765488653,66.623028701933379,73.358545409865187,88.207652530994409,96.120272722478077,100,Top (8.17 cm)
Loc_4_2.jpg,-2.8421709430404007e-14,-2.8421709430404007e-14,-2.8421709430404007e-14,18.825215849205136,33.102572113724506,44.320168672590185,51.558015904314075,62.004276207571642,64.050043517943152,70.371080723631025,76.969464838665999,90.234907714487235,96.933111368824314,100,Top (7.74 cm)
Loc_4_3.jpg,-2.8421709430404007e-14,-2.8421709430404007e-14,-2.8421709430404007e-14,18.831854307691472,33.282460117101181,41.792685172464033,49.140758059029032,57.69128191899361,60.312991904846712,66.413571591056694,73.465417508770983,88.073427311924675,96.084004106615865,100,Top (8.09 cm)
Loc_4_4.jpg,0,0,0,14.057536083770458,28.650743839738141,37.367847441152371,47.407861705383908,56.146964942116618,58.306022317636291,64.737494701453357,71.892795359018521,87.206878408119536,95.873901795558169,100,Top (8.33 cm)
