Image name,0 mm,0.063 mm,0.125 mm ,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm ,8 mm
Loc_1,0.050257225618398502,0.35088681159024299,2.6937872931458324,5.7201860431115747,5.1810630773869999,4.5359430539945569,7.7450953516635073,5.4871752697899154,23.004102817145927,18.069757029158342,17.850452771914391,7.1959209408152578,1.6996079936401873,0.41576432102486699
Loc_2,0.019248685314775499,0.024638317202921391,0.72221067301102448,6.8140346014367195,14.190900761477982,13.443281823851441,13.40709429545961,8.6619083916568531,16.276688302188976,5.9208956028303703,9.3625605371153373,5.4088805734568606,2.3675882937194874,3.3800691412776409
Loc_3,0.020887416823337231,0.53471787067706,3.4780532927520702,12.37131859278489,12.991376480768649,9.2823680362844332,6.9334288186673838,3.4464237758481668,5.8872676274878319,4.4012771163429134,10.768955330767147,9.154656401993245,8.9189269835586202,11.810342255244253
Loc_4,0.013632986373817707,0.058621841407458769,0.94340265706905324,4.0517235503022997,7.0291677743468099,6.5042977989543447,8.7217030326578211,5.5758914268965176,11.472158033578042,9.0727524317839361,22.934091327375722,15.122390135171045,6.833534419882402,1.6666325842007259
Loc_5,0,0.0013026430627805885,0.0091185014394085852,0.0039079291883232538,0.014329073690530939,0,0,0,0,0.016283038284701821,3.4910834082353168,49.75770839032397,40.18002527127539,6.5262417444995755
Loc_6,0.16934302269934112,2.0556770407674922,8.4244472422856713,21.915932233339948,17.827402646168789,11.568337272399285,10.016271655659377,5.2606778138551888,7.8449995950493125,3.0297675582945005,4.0347815843144303,3.9758796633755042,2.8972382361820199,0.9792444356091442
Loc_7,0.07600723154516531,0.75464322748422297,4.6777021928086375,10.880978104488227,9.1360692317297634,9.7153529178633331,10.229487548386752,5.7005423658879542,9.025858745989277,6.1185821393863939,20.133772727519492,11.36579565998708,1.368130167813099,0.817077739110604
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
