Location,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm, 0.710 mm,1 mm,2 mm,4 mm,8 mm
R01_A,0,0.50964027548162616,1.9230700366841966,2.789436344930206,2.3927532543604118,2.0120981493401451,2.0790347831927289,1.7664041903697334,2.6292150794436662,5.495008366324952,22.526178632327149,34.71910313892964,16.868204342086369,4.2898534065291738
R01_B,0,0.15271259391808578,0.67418744373502815,2.252934961743132,2.9625551800507179,3.9673037388144894,4.0523669204907744,2.7820631191753655,2.6374050847469883,6.013428426114011,20.355737954886763,30.38638457333883,16.108401870250049,7.6545181327357774
R01_C,0,0.38902904776845776,1.5232164297965036,2.9681707246916442,2.8244003461166329,2.7332111353441024,2.6076430538371254,1.6103329830836874,2.4941241454291756,6.6069451475406229,22.301875811985369,32.238688601672138,15.166220819154116,6.536141753580436
R01_D,0,0.19558084873782783,0.96764814445635361,2.8101316257331881,2.9123983401351445,3.7018491532488249,3.6884728757540133,2.2294537282012463,2.4921701051667458,6.8987453230859117,22.191827359825403,30.033582679934668,15.513517499236363,6.3646223164843221
R01_E,0,0.079681829409215296,0.25841224059945983,0.6666292140904525,1.3051667107630376,2.7899763426156121,7.6358778770454867,5.6957200502986565,3.8969099814710271,5.1170348111879864,18.359844836512721,29.416388084545929,17.308993068951235,7.469364952509169
R02_A,0,0.2460452381615339,0.94029217689738309,2.5482648455421928,3.6818508771209317,2.7235141718673037,3.1147577739768457,2.0405564463928609,2.2634900341021411,5.3742053119443263,18.186920117497991,30.934401451703884,18.185802070137346,9.75989948465525
R02_B,0,0.12364857518095533,0.24117667690285627,0.93578600681459134,1.3903775190655443,3.1212482695356476,5.6714914527963236,6.6262011270691064,4.2575382645308579,5.8521408114721636,20.517988855568536,29.997360236863841,15.01341375126076,6.2516284529388093
R02_C,0,0.11938483944311452,0.34655763754389463,1.3484394121762857,1.9793516924396584,2.6298204820225877,5.180785082571818,5.3327251810878735,4.889416123839343,6.410772384329066,21.082180269430904,30.126565148230107,14.153381513043287,6.4006202338420835
R02_D,0,0.1500606901166151,0.56558907160558169,2.0192473599678324,2.610202423197491,4.4199771770862588,4.5783419309413178,2.5820573325316438,2.4236758292256169,5.3346483392585391,18.028045615462329,29.660604354132587,18.177588196718162,9.4499616797560311
R03_A,0,0.069529948817458054,0.2027295676999088,0.57162358431866422,0.79974877827064428,2.2252921320865249,5.23872364316715,7.1883214848509445,5.8366343854510063,3.7745706898476596,15.279061668483962,28.280832450862135,22.32724340048043,8.2056882656635004
R03_B,0,0.15672061388417274,0.65199281507717866,2.3704179868130844,3.3225237041230913,3.6524662142724171,4.4814430805997567,2.05343548779206,2.6873168881139322,5.9278140039767866,22.263300360251804,33.657712074533038,14.002423402627709,4.7724333679349806
R03_C,0,0.18052048202559468,0.61692073881955023,1.4529210682966891,2.2261310016191302,3.4358895184741249,4.8789353116095668,4.4049297004048231,3.2577452190391036,5.3427487204800581,18.995136955142534,30.12256126702454,16.806503997514373,8.279056019549909
R05_A,0,0.073550930501408956,0.16611531425735501,0.56823534707026491,0.727723799421506,1.4827361064055991,5.1345258212877409,7.7074432325055575,6.2981326599759901,2.98212159161069,13.338648061965685,30.129483479718989,22.896848539010417,8.4944351162687912
R05_B,0,0.22615527514691525,0.66274654022539203,1.9181386063346837,1.5084239329955917,1.7049653514235299,2.3329219553414204,4.5257006924597754,8.8104751023812646,5.653353145775764,19.50564027927545,29.843692238411212,17.191200488371326,6.1165863918576573
R05_C,0,0.1372717370221983,0.4399085186231797,1.654123427031021,2.2384914137580889,3.6907295530986817,5.097896412728411,4.4102927837053887,3.05624526542571,6.0572308247663607,19.401708324534571,30.624573791168388,16.602079607545971,6.5894483405920372
R07_A,0,0.73670308683403518,2.101838814399617,2.7037886859810571,2.195029660309086,1.8055906842939236,1.8138980174981247,1.600349630060266,2.3434338298197765,6.228986422293854,21.538809454233157,32.847181888456035,17.258051278781529,6.8263385470395388
R07_B,0,0.48449499445923666,1.5637726689612053,3.4456989048221756,2.2513596170186356,2.4340097196321868,2.1815154127908376,1.7193655399750201,2.7148734874043341,7.1176572866466188,23.179296947373576,32.818902449698193,13.724847070029329,6.3642059011886518
R07_C,0,0.6993914363892817,1.8641511730776075,3.1706373349624712,2.2864902639709155,1.8642409304802414,2.0045703859327437,1.6831561054959892,2.4458242516823212,7.5207050366472767,22.602999146796762,32.077362378032966,14.711204263063962,7.0692672934674556
R07_D,0,0.70884679083085633,2.0362859449159214,2.9184460252791573,2.0478042439449409,1.9137455178972689,1.8056896032944383,1.7191313955733176,2.3447976168664573,6.9659559958102566,21.474460584640308,31.189601498218579,16.367818851062147,8.5074159316663351
R07_E,0,0.57869103513521225,1.6581772800518229,3.2400304866050833,2.5347629387760855,2.2876518488878719,2.2299210659024631,1.7439408619100836,2.3596122397449895,7.652530122755941,23.031583609261975,31.126684973218133,14.540874382039975,7.015539155710357
R08_A,0,1.0229999475901426,1.8301426830947085,2.843581822608364,1.8073098591662882,1.8055737344748639,1.6950411419556566,1.6809069926688815,2.6698278022299062,7.1880909601966136,23.096642742623391,32.598342310334147,15.435285667869294,6.3262543351877323
R08_B,0,0.82518137233228639,2.0448852459557769,2.6422509472764868,2.1259712463047706,1.885925596909422,1.5837693907967403,1.5668238427965484,2.1648981616433471,6.1584642554159643,19.992444160116936,31.225899272904741,19.011304586833923,8.7721819207130451
R08_C,0,0.95841083356669443,2.1791471113521594,2.7772402236613178,1.8684249194472882,1.571836521818087,1.5128750968942708,1.5036804889925715,2.1323446358320868,6.0991035419757047,20.114262939738133,30.815439063962057,19.369012795378886,9.0982218273807476
R08_D,0,0.87990801972752086,2.0968694837874029,2.8351685105106763,2.0373962638648209,1.6447857434453785,1.9179873559790692,1.6998844594881126,2.288723995260753,7.3473175375920281,22.675317949043965,31.023661596662116,16.282446982244707,7.2705321023934548
R08_E,0,0.91741328953773948,1.9048324435394566,2.8297484577252989,1.8932402494525598,1.5706553600012618,1.7179008902769106,1.8450587437237314,2.5668304829363322,6.75775593819737,21.491312308021921,31.559532868678865,17.089362307953344,7.856356659955205
R09_A,0,0.84332614203122513,1.8556088693729766,3.0352540377055313,2.01802854936455,1.6462173154247337,1.7308047405157019,1.6348716634801042,2.2679105526905965,6.2424100548749681,19.893912153923445,31.152391522027891,18.518680134742212,9.1605842638460508
R09_B,0,0.86022371894804439,2.0265611324243991,2.7516826087394293,1.8417307354604877,1.6843061272238928,1.7375147183120003,1.6392600599044638,2.3184363734589128,6.116158025155813,19.647201072102334,31.036022625538457,19.518233397229594,8.8226694055021682
R09_C,0,0.93103950511931499,1.9963245963631056,2.6560159939025283,1.79117358301631,1.7434768871814004,1.6550136898920222,1.7908999082826424,2.5039202378017498,6.1932963396066079,20.384534502308046,31.395678495935819,19.00844740822123,7.9501788523692287
R09_D,0,0.84996913555134557,1.7504216338060363,2.6586517842595461,2.2745425088656854,1.7835018563992235,1.9551083659515511,1.5605202292915412,2.2433587139780578,5.8578553548188657,19.177539660483056,30.295445306193919,19.17153775765475,10.421547692746417
R10_A,0,0.63733777624960397,1.7380833808834817,3.6823759182691318,2.3114956411648251,1.8501713473531065,1.8692773172873256,1.8031123737895318,2.5447862125158434,7.4707385393264767,24.918322797990591,32.480521582169864,13.480228888198342,5.2135482248018672
R10_B,0,0.82281669587317052,2.0515837871581533,3.0440415239512997,1.653018694247212,1.7564675282812803,1.846195316300604,1.6334413831553873,2.4549943904180407,6.3429332803126908,22.306914902249154,32.741205044182621,16.712191932454168,6.634195521416224
R10_C,0,0.83526381737664412,2.3099123861118747,2.6009090120051659,1.7816572802891242,1.749622461013254,1.8698581768929059,1.8924909775996233,2.6124136028940215,7.4818678536300514,24.082058285368383,32.740370448524175,14.657237323734515,5.3863383745602631
R10_D,0,1.0931983734198116,2.127354019526412,2.5739663106742592,1.6014774824605449,1.5915343008689198,1.6619585513659902,1.5361917052888296,2.1969495989501193,6.6304346482897705,22.308900574072045,33.702487777336934,17.040763125623197,5.9347835321231752
R10_E,0,0.92680271002622305,1.8493834046988651,2.9237803516997167,2.1781104381676264,1.790281682210074,1.8729262009744194,1.6780039409965759,2.735314402612834,7.4854791366919846,25.784837145848027,33.137092220928558,13.163466890576142,4.4745214745689479
