Image name,20221026_154802.jpg,20221026_154822.jpg,20221026_154833.jpg,20221026_154842.jpg,20221026_154843.jpg,20221026_154855.jpg,20221026_154908.jpg,20221026_154923.jpg,20221026_154937.jpg,20221026_154949.jpg,20221026_154950.jpg,20221026_155002.jpg,20221026_155017.jpg,20221026_155032.jpg,20221026_155043.jpg,20221026_155055.jpg,20221026_155106.jpg,20221026_155121.jpg,20221026_155134.jpg,20221026_155144.jpg,20221026_155155.jpg,20221026_155204.jpg,20221026_155216.jpg,20221026_155227.jpg,20221026_155240.jpg,20221026_155252.jpg,20221026_155302.jpg,20221026_155313.jpg,20221026_155325.jpg,20221026_155335.jpg,20221026_155345.jpg,20221026_155402.jpg
Test_2 D16,0.34879323194010936,0.30920543968041159,0.31629594470101535,0.33613894980721631,0.3228293986377257,0.30848899480101549,0.31665353994110335,0.32498992876671118,0.31739217190929958,0.44615571521164671,0.38516036606842763,0.38161931259738469,0.43729472255764357,0.41649573750905078,0.4044876233707923,0.4293947791910111,0.31988083111301835,0.33648905641541349,0.3798049757924159,0.38468188265131759,0.35379236326440194,0.42562667220525946,0.37868881761132023,0.34272268677270823,0.31586832535754056,0.37134690772246048,0.3650047492495288,0.32391868520153172,0.37736061356655615,0.32433703798840008,0.36916435980811613,0.32449386427299071
Test_1 D16,0.30660902852004929,0,0.35100017675373407,0,0.32093119511985313,0,0.31570655893839322,0,0.32048248721463923,0,0.31469461909618412,0,0.30982540099752776,0,0.30674758470455249,0,0.32635350251825801,0,0.39709725233692922,0,0.31648699251603951,0,0.37393192395759622,0,0.33483185619196248,0,0.31816605687405297,0,0.32097271116816617,0,0.30635047952665001,0
R7 D16,0.31472364484558968,0,0,0,0,0,0,0,0.32315839999264001,0,0,0,0,0,0,0,0.31305661690041048,0,0,0,0.31509926896159257,0,0,0,0.3214975874687887,0,0,0,0,0,0,0
Test_2 D50,0.64722817819332434,0.64237555134086521,0.64103178131876304,0.64016107701963332,0.64397120944758091,0.64771858840298902,0.63759773999827773,0.64138386973917372,0.63261197207874797,0.68017847897083106,0.65999104899791194,0.64722301252559822,0.67433949692730399,0.65491516732123634,0.67165702419571971,0.66909674874189584,0.63636366339324058,0.63445531683434264,0.65086749473754557,0.6537625727708275,0.63617396478864208,0.66828260819745278,0.64259927205153899,0.6356356231384851,0.63587533346543856,0.64302979388317416,0.6340882759407831,0.62644455096580942,0.64996323255807842,0.64651038709361874,0.65582457213806622,0.6525341070158055
Test_1 D50,0.64404172494278833,0,0.64348672273817009,0,0.6498194345222551,0,0.65014440235059789,0,0.65244375663417531,0,0.64553224873196347,0,0.65381470432767119,0,0.63303705069319316,0,0.63986786207876434,0,0.64834789783107216,0,0.64105853460671691,0,0.65305830513636964,0,0.65213876871788701,0,0.64735584331750429,0,0.64811719679129665,0,0.64528172116583404,0
R7 D50,0.6489235917818158,0,0,0,0,0,0,0,0.64377241369141258,0,0,0,0,0,0,0,0.64013341827126946,0,0,0,0.65072634974798582,0,0,0,0.63586774297029791,0,0,0,0,0,0,0
Test_2 D90,2.8191718675145561,2.9355660655164058,2.8833461696537888,2.6604167486198071,2.8476973736175948,2.9384929775136879,2.9760202261638469,2.9158943915751347,2.7980602792855773,2.8449909000391118,2.9493433096451884,2.5470274108294606,2.6205076572323796,2.4618094889772006,2.7553359432378475,2.6556467659137435,2.5724591460927204,2.6538472722551014,2.5856207581269164,2.4233648337436282,2.62338177133734,2.5085701941372704,2.9644438735028946,2.6563441595425585,2.5126481110887586,2.7085192763894703,2.596173224402909,2.509051737160644,2.7617027791155424,2.7818604905312214,2.9298437175728398,2.7340033792297005
Test_1 D90,2.9465164312104797,0,2.7729036048024431,0,2.8263734613322185,0,3.2449374278559397,0,3.06173250661758,0,2.9711342080070891,0,2.8583113483456946,0,2.7849659070606698,0,2.9003649788532515,0,2.7751301076729571,0,2.7856094659794275,0,2.7679823471482869,0,2.8072919063217365,0,2.8768794950354923,0,2.9055866250007591,0,2.7323221308508248,0
R7 D90,2.7301796828399665,0,0,0,0,0,0,0,2.4988216545610427,0,0,0,0,0,0,0,2.4827703870809139,0,0,0,2.616623218211398,0,0,0,2.4086525569698867,0,0,0,0,0,0,0
