Image name,R1,R2,R3,R5,R7,R8,R9,R10
A,0.32531697636074136,0.34537921353569578,0.46217720882158042,0.4718786036441841,0.31472364484558968,0.31152830200953296,0.30785964111254244,0.30829718604982287
B,0.37440193842369646,0.44679051930326164,0.36892645770037769,0.40837947210744097,0.32315839999264001,0.31243485168903984,0.31165100069511315,0.3091288505470533
C,0.33264458520208645,0.42584977702399734,0.40480208462191969,0.40579599993331689,0.31305661690041048,0.30136904661918174,0.31581776665046979,0.31847434514996376
D,0.35709417987275927,0.38328945981626916,0,0,0.31509926896159257,0.3120523588168177,0.31844589273923263,0.30626654351671717
E,0.44607341043478121,0,0,0,0.3214975874687887,0.31330322311882508,0.31652713302500962,0.31418503500626227
