Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
R1_A,0.25435978476800364,0.28581460296180333,0.32531697636074136,0.39371416457776204,0.43261536811130158,0.65818162390802459,1.5146220295237318,1.9250551666572673,2.7721251104233158,3.6598483511563185
R1_B,0.29689385484825298,0.33596481391391947,0.37440193842369646,0.42028326079486938,0.44583202874563993,0.64779896261200209,1.4494759360115212,1.8855527496977433,2.7084462725027372,3.6827618786635949
R1_C,0.26258690027561477,0.29451310198731351,0.33264458520208645,0.39225889004004699,0.42559764552369178,0.63708944249655797,1.4303295869505874,1.8588133597975665,2.5965469824334542,3.5842748029101692
R1_D,0.28246450444808913,0.31446949410656022,0.35709417987275927,0.41363214801214354,0.44017634673594125,0.64315814204730803,1.3976983649480772,1.8274645402256056,2.5050289020249457,3.5640834390857519
R1_E,0.37135968883228854,0.42598374066953171,0.44607341043478121,0.47620791508265536,0.49294930655369662,0.67841617924500386,1.5090698770544499,1.9476921380796814,2.8955419001183644,3.8064415646115903
R2_A,0.27774034444256235,0.31229513188939811,0.34537921353569578,0.40897060564688015,0.4399213151932404,0.65024576542429668,1.5107438755245299,1.9673661091215808,2.957331302714568,3.8515328956452528
R2_B,0.36450381534885401,0.41183496242059137,0.44679051930326164,0.48826739127764446,0.51562580194404017,0.67946870113597457,1.451939091508355,1.8777112349743756,2.6629546725703142,3.6340261042644979
R2_C,0.34525933868758973,0.3909450626390728,0.42584977702399734,0.47394476598751711,0.50117528798120081,0.66560438784832598,1.4121631834448309,1.8452251565823663,2.5553108469349319,3.5658048533584195
R3_B,0.29055961275709202,0.32843693840452282,0.36892645770037769,0.42563857024726304,0.44640967066065812,0.64302766630788133,1.4724792531414177,1.8879706998068195,2.6547085462022664,3.5708146730579622
R3_C,0.32641907252488389,0.37402338514387679,0.40480208462191969,0.4450133401222367,0.46916316393259588,0.66362023293826333,1.4898141411429588,1.929953188014967,2.8449081269786931,3.7701712923983814
