Image name,Pixel size (mm/pixel),Date/time,Device,Latitude,Longitude,Image height (mm),Image width (mm),Heigth above bed (mm)
Sample_2_20.jpg,0.023317307692307693,2022:09:15 09:57:46,SM-A515F,"52°6'8.12772"" N","5°13'34.17744"" E",8.953846153846154,11.938461538461539,12.114027149321267
Sample_2_19.jpg,0.025797872340425531,2022:09:15 09:57:42,SM-A515F,"52°6'8.12772"" N","5°13'34.17744"" E",9.9063829787234052,13.208510638297872,13.40275344180225
Sample_2_18.jpg,0.023635477582846003,2022:09:15 09:57:38,SM-A515F,"52°6'8.12772"" N","5°13'34.17744"" E",9.0760233918128641,12.101364522417152,12.279325765393875
Sample_2_17.jpg,0.024694501018329939,2022:09:15 09:57:33,SM-A515F,"52°6'8.12772"" N","5°13'34.17744"" E",9.4826883910386961,12.643584521384929,12.829519587875884
Sample_2_16.jpg,0.026473799126637561,2022:09:15 09:57:00,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",10.165938864628821,13.554585152838428,13.753917287438991
Sample_2_15.jpg,0.026473799126637561,2022:09:15 09:57:00,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",10.165938864628821,13.554585152838428,13.753917287438991
Sample_2_14.jpg,0.026416122004357299,2022:09:15 09:56:52,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",10.143790849673204,13.525054466230936,13.723952326028455
Sample_2_13.jpg,0.025313152400835072,2022:09:15 09:56:48,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",9.7202505219206685,12.960334029227555,13.150927176716195
Sample_2_12.jpg,0.024846311475409839,2022:09:15 09:56:43,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",9.5409836065573757,12.721311475409836,12.908389585342331
Sample_2_11.jpg,0.025000000000000001,2022:09:15 09:56:38,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",9.5999999999999996,12.800000000000001,12.988235294117649
Sample_2_10.jpg,0.027125279642058169,2022:09:15 09:56:33,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",10.416107382550337,13.888143176733779,14.09238057639163
Sample_2_9.jpg,0.025743099787685776,2022:09:15 09:56:29,SM-A515F,"52°6'8.04168"" N","5°13'34.01292"" E",9.8853503184713407,13.180467091295116,13.374297489696515
Sample_2_8.jpg,0.026301518438177875,2022:09:15 09:55:01,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",10.099783080260304,13.466377440347074,13.664412402705116
Sample_2_7.jpg,0.029146634615384619,2022:09:15 09:54:55,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",11.192307692307693,14.923076923076925,15.142533936651585
Sample_2_6.jpg,0.02819767441860465,2022:09:15 09:54:50,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",10.827906976744185,14.437209302325581,14.649521203830366
Sample_2_5.jpg,0.028263403263403264,2022:09:15 09:54:46,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",10.853146853146852,14.470862470862473,14.683669271904565
Sample_2_4.jpg,0.027247191011235961,2022:09:15 09:54:42,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",10.462921348314604,13.950561797752805,14.155717118307994
Sample_2_3.jpg,0.027682648401826482,2022:09:15 09:54:39,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",10.63013698630137,14.173515981735161,14.381950040290089
Sample_2_2.jpg,0.0261879049676026,2022:09:15 09:54:36,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",10.056155507559396,13.408207343412528,13.605386863168595
Sample_2_1.jpg,0.02510351966873706,2022:09:15 09:54:31,SM-A515F,"52°6'8.11116"" N","5°13'34.11444"" E",9.6397515527950333,12.853002070393375,13.042016806722689
