Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
R8_C1.JPG; T=30,0.3995812180543572,3.7625063338431493,4.644895828517396,7.716357001002215,5.808116633570846,5.571089022276303,5.84206730791735,5.267153745519272,7.465296771673689,3.801716692337736,6.5383576948870346,10.413576718264014,14.885722579464144,17.883562452672482
R8_E2.JPG; T=30,0.0,2.8792632406381897,3.9774564825342327,6.40732479070238,4.468929769266012,6.2317406450182675,7.3771899416444375,6.025823066650307,8.598133972603884,4.40073095958012,8.543361226534794,12.866687869996696,15.225650949497151,12.997707085333538
R8_B2.JPG; T=30,0.0,4.329982913155123,5.04223125087566,7.372837465036672,4.576448392456071,5.8085535210796095,6.269207441613883,5.718618396661001,7.199987037865231,4.1746161665356185,6.6114526767199004,11.275674119851685,15.032278952919919,16.588111665229626
R8_B1.JPG; T=30,0.0,5.805679991895393,5.619778643242454,7.506095503550522,5.88921057537608,5.346219994473511,5.504313668413039,4.808845561180505,6.2415469740734775,3.6481197825550775,6.54446799578306,10.660934558900212,16.47243798840911,15.952348762147558
R8_A1.JPG; T=30,0.5157354520120481,3.536609616114972,4.687694869119243,6.480794273642522,4.5362821524469545,5.5840231976549815,6.1262704433038575,5.022660369891708,8.492771063963147,5.161413061408012,8.002705132647932,10.903994816583165,15.318455044131674,15.630590507079791
R8_E1.JPG; T=30,0.0,3.6242659114656894,3.9079646332567566,6.105919832324893,5.546747948018197,5.671087991316784,7.872783371823322,5.260877068379048,8.449901248874983,4.25483696765423,7.569200271120707,10.807485744551656,14.947024832052193,15.98190417916153
R8_D1.JPG; T=30,0.0,6.863073694887492,6.261409223757267,7.777673432537405,5.792956981704309,5.1445905600889885,5.176110291521633,3.7171196984264774,5.992538503274384,3.657111010807005,8.076478194863153,11.360165135096604,15.208754597527909,14.972018675507373
R8_A2.JPG; T=30,0.0,2.318384271248325,3.3669707271259157,4.593941818198277,4.6289384090917896,6.5031702298946215,6.71844684046938,7.1728751670191215,10.863920030080802,4.6059650407769945,7.853773166588677,11.311625649373855,13.994776372701676,16.067212277430542
R8_C2.JPG; T=30,0.9544049939948585,4.718414284914076,5.24325846227988,6.863526952888972,6.093141855620872,5.729868159894654,5.626381991217589,4.810477868604719,6.83118431288395,3.7026583282749814,5.455029629496599,9.826659896069852,15.170517587203193,18.974475676655807
R8_D2.JPG; T=30,0.0,3.0234224902733464,4.103709824940503,6.223298890719508,5.6079447214643485,5.803214659805957,6.798773491215737,5.567770297919905,8.655829378288125,4.377915645922367,8.167159789155948,11.588735571936429,14.973086066008651,15.109139172349186
