Point ID,GNSS Position Solution.Start Time,Easting,Northing,Elevation,GNSS Position Solution.Antenna Height,Distance
T12 02,21-04-2023 15:08:56,116134.52499999999,559007.978,1.032,2.000,2.043027655259213
T12 03,21-04-2023 15:09:10,116136.016,559006.32200000004,0.885,2.000,4.2713492208981041
T12 04,21-04-2023 15:09:26,116137.435,559004.68299999996,0.828,2.000,6.4392703449835373
T12 05,21-04-2023 15:09:40,116138.88099999999,559003.15500000003,0.758,2.000,8.5430051190898908
T12 06,21-04-2023 15:10:01,116140.04700000001,559001.89899999998,0.674,2.000,10.256799739270201
T12 07,21-04-2023 15:10:15,116141.368,559000.50199999998,0.723,2.000,12.179467157203515
T12 08,21-04-2023 15:10:37,116142.611,558999.24600000004,0.536,2.000,13.946550912955933
T12 09,21-04-2023 15:10:59,116143.77,558997.77399999998,0.276,2.000,15.820067659664273
T12 10,21-04-2023 15:11:19,116145.29300000001,558996.13500000001,0.219,2.000,18.057443354511541
T12 11,21-04-2023 15:11:35,116146.834,558994.72999999998,0.076,2.000,20.142798480160558
T12 12,21-04-2023 15:11:51,116148.243,558993.30200000003,-0.102,2.000,22.148905406491753
T12 13,21-04-2023 15:12:05,116149.753,558992.02000000002,-0.262,2.000,24.129719380594544
T12 14,21-04-2023 15:12:24,116151.336,558990.57499999995,-0.415,2.000,26.273061163928308
T12 15,21-04-2023 15:12:40,116152.762,558988.98400000005,-0.549,2.000,28.409590358602753
T12 16,21-04-2023 15:12:58,116154.31,558987.49899999995,-0.686,2.000,30.554707837970604
T12 17,21-04-2023 15:13:12,116155.53200000001,558986.18000000005,-0.802,2.000,32.352774855565109
T13 01,21-04-2023 15:21:28,116232.08,559095.98699999996,1.373,2.000,0
T13 02,21-04-2023 15:21:42,116233.66800000001,559094.43099999998,1.102,2.000,2.2232588693077679
T13 03,21-04-2023 15:21:57,116235.094,559092.92099999997,0.984,2.000,4.300173889236576
T13 04,21-04-2023 15:22:14,116236.738,559091.57999999996,0.915,2.000,6.4217339284626007
T13 05,21-04-2023 15:22:31,116238.32799999999,559090.19200000004,0.789,2.000,8.532336685914597
T13 06,21-04-2023 15:22:50,116239.68700000001,559088.88399999996,0.621,2.000,10.418535243922982
T13 07,21-04-2023 15:23:08,116241.118,559087.46400000004,0.725,2.000,12.434511682222649
T13 08,21-04-2023 15:23:25,116242.732,559085.86800000002,0.653,2.000,14.70436013532848
T13 09,21-04-2023 15:23:42,116244.148,559084.67500000005,0.397,2.000,16.555928389517788
T13 10,21-04-2023 15:24:01,116245.87699999999,559083.15000000002,0.248,2.000,18.861371080205117
T13 11,21-04-2023 15:24:17,116247.54300000001,559081.76199999999,0.109,2.000,21.029803693900593
T13 12,21-04-2023 15:24:36,116249.41800000001,559080.12399999995,-0.121,2.000,23.519516327944118
T13 13,21-04-2023 15:24:53,116250.965,559078.57999999996,-0.293,2.000,25.705184418015456
T13 14,21-04-2023 15:25:12,116252.39599999999,559076.99800000002,-0.447,2.000,27.838371001460661
T13 15,21-04-2023 15:25:29,116253.935,559075.56599999999,-0.569,2.000,29.940547254798762
T14 01,21-04-2023 15:27:51,116324.678,559171.21999999997,1.225,2.000,0
T14 02,21-04-2023 15:28:07,116326.304,559169.39399999997,1.037,2.000,2.4450259712354581
T14 03,21-04-2023 15:28:27,116327.954,559167.625,0.950,2.000,4.8640879795102858
T14 04,21-04-2023 15:28:43,116329.636,559165.73499999999,0.906,2.000,7.3941520103314735
T14 05,21-04-2023 15:28:56,116331.25599999999,559163.77599999995,0.731,2.000,9.9362143620665719
T14 06,21-04-2023 15:29:19,116332.546,559162.245,0.590,2.000,11.938228597754108
T14 07,21-04-2023 15:29:39,116333.609,559161.09499999997,0.700,2.000,13.504264676534596
T14 08,21-04-2023 15:29:54,116334.829,559159.51000000001,0.574,2.000,15.504420920402747
T14 09,21-04-2023 15:30:14,116336.141,559157.82999999996,0.324,2.000,17.636026887786532
T14 10,21-04-2023 15:30:29,116337.929,559156.03099999996,0.225,2.000,20.17243083826412
T14 11,21-04-2023 15:30:47,116339.22500000001,559154.402,0.053,2.000,22.254078502943678
T14 12,21-04-2023 15:31:02,116340.74400000001,559152.598,-0.163,2.000,24.612420505286458
T14 13,21-04-2023 15:31:18,116342.19,559150.88699999999,-0.332,2.000,26.852607327858244
T14 14,21-04-2023 15:31:34,116343.59699999999,559149.06999999995,-0.475,2.000,29.150679998623801
T14 15,21-04-2023 15:31:55,116345.00599999999,559147.33900000004,-0.620,2.000,31.382639227573993
T15 01,21-04-2023 15:34:15,116420.439,559245.54299999995,1.176,2.000,0
T15 02,21-04-2023 15:34:32,116421.951,559243.92200000002,0.976,2.000,2.2167058893251639
T15 03,21-04-2023 15:34:50,116423.476,559242.15599999996,0.868,2.000,4.5500256274235138
T15 04,21-04-2023 15:35:07,116425.18700000001,559240.30500000005,0.805,2.000,7.0706846681693518
T15 05,21-04-2023 15:35:24,116427.045,559238.55900000001,0.758,2.000,9.620327780474133
T15 06,21-04-2023 15:35:43,116428.427,559237.10100000002,0.662,2.000,11.629229968224378
T15 07,21-04-2023 15:35:59,116429.819,559235.51500000001,0.699,2.000,13.739457444126506
T15 08,21-04-2023 15:36:16,116431.173,559233.61600000004,0.784,2.000,16.071734657471136
T15 09,21-04-2023 15:36:34,116432.71400000001,559231.78300000005,0.585,2.000,18.46643088037268
T15 10,21-04-2023 15:36:54,116434.228,559230.00300000003,0.305,2.000,20.803222698247364
T15 11,21-04-2023 15:37:09,116435.75999999999,559228.17700000003,0.130,2.000,23.186770474143369
T15 12,21-04-2023 15:37:26,116437.19100000001,559226.35900000005,-0.091,2.000,25.500400738451884
T15 13,21-04-2023 15:37:45,116438.52099999999,559224.64199999999,-0.267,2.000,27.672263763640217
T15 14,21-04-2023 15:37:59,116439.95,559222.81499999994,-0.427,2.000,29.991739997661078
T15 15,21-04-2023 15:38:17,116441.336,559220.83799999999,-0.593,2.000,32.406180926700216
T16 01,21-04-2023 15:44:03,116523.606,559319.77800000005,1.252,2.000,0
T16 02,21-04-2023 15:44:18,116524.774,559318.25199999998,1.029,2.000,1.9216919628879099
T16 03,21-04-2023 15:44:35,116526.122,559316.43200000003,0.969,2.000,4.1865327961052303
T16 04,21-04-2023 15:44:56,116527.439,559314.66799999995,0.944,2.000,6.3879380291962367
T16 05,21-04-2023 15:45:16,116528.86,559312.826,0.889,2.000,8.7143526525613311
T16 06,21-04-2023 15:45:33,116530.067,559311.174,0.706,2.000,10.760312818349949
T16 07,21-04-2023 15:45:55,116531.072,559309.76399999997,0.461,2.000,12.491822275471474
T16 08,21-04-2023 15:46:12,116532.14599999999,559308.55900000001,0.567,2.000,14.105978711472797
T16 09,21-04-2023 15:46:30,116533.351,559306.86600000004,0.497,2.000,16.184024427982251
T16 10,21-04-2023 15:46:45,116534.489,559305.12199999997,0.389,2.000,18.266470105602306
T16 11,21-04-2023 15:47:01,116535.84,559303.51899999997,0.274,2.000,20.362850319207592
T16 12,21-04-2023 15:47:17,116537.129,559301.89899999998,0.151,2.000,22.433096922874899
T16 13,21-04-2023 15:47:32,116538.026,559300.53099999996,0.178,2.000,24.06895541309979
T16 14,21-04-2023 15:47:50,116539.196,559298.89500000002,0.014,2.000,26.080272394532823
T16 15,21-04-2023 15:48:09,116540.519,559297.07200000004,-0.184,2.000,28.332750585308219
T16 16,21-04-2023 15:48:24,116541.75900000001,559295.29599999997,-0.337,2.000,30.498801369630783
T16 17,21-04-2023 15:48:45,116542.99000000001,559293.72999999998,-0.456,2.000,32.49071426932624
T16 18,21-04-2023 15:49:04,116544.198,559292.28300000005,-0.577,2.000,34.375673950536076
T17 01,21-04-2023 15:51:46,116631.12699999999,559388.98300000001,0.845,2.000,0
T17 02,21-04-2023 15:52:00,116632.538,559387.54000000004,0.669,2.000,2.0182096025771674
T17 03,21-04-2023 15:52:23,116634.10000000001,559386.07999999996,0.429,2.000,4.1563031459582529
T17 04,21-04-2023 15:52:39,116635.398,559384.79799999995,0.195,2.000,5.980673722350101
T17 05,21-04-2023 15:52:58,116636.863,559383.38300000003,0.296,2.000,8.0174481329723815
T17 06,21-04-2023 15:53:15,116638.452,559381.99399999995,0.236,2.000,10.127955654933201
T17 07,21-04-2023 15:53:34,116640.27899999999,559380.33700000006,0.172,2.000,12.594446684635129
T17 08,21-04-2023 15:53:56,116642.713,559378.42299999995,0.037,2.000,15.690856218344651
