Point ID,GNSS Position Solution.Start Time,Easting,Northing,Elevation,GNSS Position Solution.Antenna Height,Distance
T22 03,21-04-2023 16:29:29,117183.106,559833.54599999997,0.878,2.000,6.1551589471274992
T22 04,21-04-2023 16:29:49,117185.60400000001,559831.45299999998,0.812,2.000,9.4140932821528338
T22 05,21-04-2023 16:30:04,117187.984,559829.50699999998,0.672,2.000,12.488392551895192
T22 06,21-04-2023 16:30:34,117189.99000000001,559827.76899999997,0.650,2.000,15.142574158356245
T22 07,21-04-2023 16:30:49,117192.18399999999,559825.79000000004,0.762,2.000,18.09724452908937
T22 08,21-04-2023 16:31:09,117194.69,559823.78000000003,0.519,2.000,21.309741377349308
T22 09,21-04-2023 16:31:29,117197.317,559821.75300000003,0.156,2.000,24.627851984301927
T22 10,21-04-2023 16:31:50,117199.364,559819.96200000006,-0.222,2.000,27.347758232669854
T22 11,21-04-2023 16:32:08,117201.55499999999,559817.97600000002,-0.589,2.000,30.30489823613544
T22 12,21-04-2023 16:32:30,117203.58900000001,559816.41099999996,-0.858,2.000,32.871292788858625
T23 01,21-04-2023 16:35:00,117274.57399999999,559924.20499999996,1.211,2.000,0
T23 02,21-04-2023 16:35:16,117276.336,559922.58799999999,1.012,2.000,2.3915127011808286
T23 03,21-04-2023 16:35:34,117278.602,559920.37600000005,0.845,2.000,5.5581670870832749
T23 04,21-04-2023 16:35:57,117280.875,559918.103,0.846,2.000,8.7726745143896707
T23 05,21-04-2023 16:36:15,117283.022,559915.57900000003,0.614,2.000,12.086310734596374
T23 06,21-04-2023 16:36:33,117284.981,559913.31499999994,0.474,2.000,15.08020067919777
T23 07,21-04-2023 16:36:53,117286.514,559911.76899999997,0.715,2.000,17.257401864183585
T23 08,21-04-2023 16:37:11,117288.53599999999,559909.71299999999,0.764,2.000,20.141083538695518
T23 09,21-04-2023 16:37:32,117290.736,559907.495,0.450,2.000,23.265107226189308
T23 10,21-04-2023 16:37:54,117292.905,559905.23699999996,0.076,2.000,26.396101477240329
T23 11,21-04-2023 16:38:11,117294.753,559903.01699999999,-0.304,2.000,29.284613897132107
T23 12,21-04-2023 16:38:28,117296.47500000001,559901.15700000001,-0.545,2.000,31.819349386286451
T23 13,21-04-2023 16:38:48,117298.61199999999,559898.875,-0.833,2.000,34.945735958669658
T24 01,21-04-2023 16:40:35,117349.784,560003.18799999997,1.156,2.000,0
T24 02,21-04-2023 16:40:48,117352.235,560001.66000000003,1.007,2.000,2.8882840926404114
T24 03,21-04-2023 16:41:07,117354.355,560000.14800000004,0.908,2.000,5.4922318647632782
T24 04,21-04-2023 16:41:21,117356.56200000001,559998.68200000003,0.808,2.000,8.1417610682417596
T24 05,21-04-2023 16:41:41,117358.875,559997.25,0.743,2.000,10.862164163384202
T24 06,21-04-2023 16:41:56,117361.269,559995.46400000004,0.707,2.000,13.848973832558215
T24 07,21-04-2023 16:42:13,117363.86199999999,559993.52800000005,0.549,2.000,17.084981403611735
T24 08,21-04-2023 16:42:27,117365.01700000001,559992.78000000003,0.737,2.000,18.461036998441745
T24 09,21-04-2023 16:42:44,117367.49099999999,559990.92000000004,0.826,2.000,21.556239091986821
T24 10,21-04-2023 16:43:02,117369.996,559989.50399999996,0.590,2.000,24.433752080708739
T24 11,21-04-2023 16:43:19,117372.633,559987.755,0.221,2.000,27.598048210947933
T24 12,21-04-2023 16:44:37,117375.39200000001,559985.82799999998,-0.232,2.000,30.963372860982027
T24 13,21-04-2023 16:44:53,117377.948,559983.69700000004,-0.557,2.000,34.291179495945968
T24 14,21-04-2023 16:45:16,117380.58100000001,559981.62699999998,-0.836,2.000,37.640446430706241
T25 01,21-04-2023 16:47:10,117408.45299999999,560071.147,0.798,2.000,0
T25 02,21-04-2023 16:47:24,117410.662,560069.69499999995,0.692,2.000,2.6434797143447031
T25 03,21-04-2023 16:47:38,117413.001,560068.20499999996,0.623,2.000,5.4167487240165038
T25 04,21-04-2023 16:47:52,117415.118,560066.93999999994,0.724,2.000,7.8829024094198363
T25 05,21-04-2023 16:48:10,117417.48299999999,560065.38500000001,0.825,2.000,10.713317573270045
T25 06,21-04-2023 16:48:24,117419.82399999999,560063.74199999997,0.598,2.000,13.573340300475762
T25 07,21-04-2023 16:48:38,117422.272,560062.07700000005,0.266,2.000,16.533902578110833
T25 08,21-04-2023 16:48:55,117424.75999999999,560060.64000000001,-0.121,2.000,19.407073822587375
T25 09,21-04-2023 16:49:11,117427.124,560059.18099999998,-0.460,2.000,22.185054564079117
T25 10,21-04-2023 16:49:27,117429.56299999999,560057.53500000003,-0.707,2.000,25.127508811782395
