x,y
116285.3549,559130.844
116336.4477,559168.599
116386.0961,559205.3047
116435.6486,559242.0088
116485.8646,559279.3596
116535.1109,559316.2163
116585.5482,559354.2898
116635.2038,559392.1292
116681.0315,559438.5919
116730.2168,559477.0118
116780.8242,559518.6287
116830.9789,559558.7978
116885.1303,559597.0177
116938.0643,559633.047
116988.0208,559674.877
117036.9217,559716.6806
117332.5095,559980.4837
117381.6254,560025.964
115182.1001,558043.6428
115482.8153,558435.0606
115533.8285,558490.9561
115583.9012,558543.4905
115625.5078,558600.8561
115676.3911,558650.0664
115726.5452,558696.7421
115777.3957,558742.4168
115835.5352,558778.4861
116187.2599,559056.6346
116236.6309,559093.478
116285.9651,559130.0518
116337.0124,559167.7736
116386.6755,559204.4896
116436.2466,559241.2073
116486.4535,559278.5514
116535.7313,559315.432
116586.1504,559353.4914
116635.8203,559391.3418
116681.5949,559437.7657
116730.8142,559476.2099
116781.3868,559517.802
116831.535,559557.9668
116885.6317,559596.1525
116938.5616,559632.1794
116988.5199,559674.0105
117037.4666,559715.8421
117284.125,559934.7032
117333.2383,559979.799
117382.391,560025.3207
115182.8784,558043.0148
115483.5625,558434.396
115534.5316,558490.245
115584.6012,558542.7763
115626.2362,558600.1709
115677.0812,558649.3426
115727.2285,558696.012
115778.0421,558741.6538
115836.1641,558777.7086
115886.6211,558820.2658
116187.8139,559055.802
116237.2122,559092.6643
116286.5754,559129.2596
116337.5771,559166.9483
116387.2548,559203.6745
116436.8446,559240.4058
116487.0425,559277.7433
116536.3517,559314.6477
116586.7525,559352.693
116636.4368,559390.5545
116682.1583,559436.9395
116731.4115,559475.4079
116781.9493,559516.9752
116832.0912,559557.1357
116886.1331,559595.2873
116939.0589,559631.3119
116989.0191,559673.144
117038.0115,559715.0036
117088.6024,559758.4735
117137.3103,559801.3433
117185.2909,559844.0517
117234.8518,559888.5509
117284.8153,559933.9796
117333.9671,559979.1142
117383.1566,560024.6774
115183.6566,558042.3869
115484.3097,558433.7313
115535.2347,558489.5339
115585.3011,558542.0621
115626.9647,558599.4858
115677.7712,558648.6188
115727.9119,558695.2819
115778.6884,558740.8907
115836.793,558776.9311
115887.2292,558819.4719
115936.9931,558860.3652
116188.3678,559054.9694
116237.7934,559091.8506
116287.1856,559128.4673
116338.1417,559166.123
116387.8341,559202.8594
116437.4426,559239.6042
116487.6315,559276.9351
116536.972,559313.8634
116587.3547,559351.8946
116637.0533,559389.7671
116682.7218,559436.1133
116732.0089,559474.6059
116782.512,559516.1486
116832.6473,559556.3046
116886.6345,559594.422
116939.5563,559630.4443
116989.5182,559672.2774
117038.5565,559714.1651
117089.1205,559757.6182
117137.8871,559800.5264
117185.9595,559843.3081
117235.5404,559887.8257
117285.5055,559933.256
117334.6958,559978.4294
117383.9222,560024.0341
115184.4349,558041.7589
115234.459,558115.3454
115434.8271,558375.4069
115485.0568,558433.0667
115535.9378,558488.8229
115586.0011,558541.3479
115627.6931,558598.8007
115678.4612,558647.895
115728.5952,558694.5518
115779.3348,558740.1277
115837.4219,558776.1536
115887.8373,558818.6781
115937.6125,558859.5801
115988.2391,558900.1616
116188.9217,559054.1369
116238.3747,559091.0369
116287.7958,559127.6751
116338.7064,559165.2977
116388.4135,559202.0443
116438.0405,559238.8027
116488.2205,559276.127
116537.5924,559313.0791
116587.9569,559351.0963
116637.6698,559388.9798
116683.2852,559435.2872
116732.6063,559473.8039
116783.0745,559515.3218
116833.2035,559555.4735
116887.1358,559593.5568
116940.0536,559629.5767
116990.0173,559671.4109
117039.1014,559713.3266
117089.6386,559756.7628
117138.4639,559799.7095
117186.6281,559842.5644
117236.2289,559887.1005
117286.1957,559932.5324
117335.4246,559977.7447
117384.6878,560023.3908
115185.2131,558041.131
115235.2361,558114.716
115435.5858,558374.7554
115485.804,558432.4021
115536.6409,558488.1118
115586.701,558540.6337
115628.4216,558598.1156
115679.1512,558647.1713
115729.2785,558693.8217
115779.9811,558739.3647
115838.0508,558775.3761
115888.4455,558817.8843
115938.2319,558858.795
115988.8271,558899.3528
116038.4344,558938.34
116138.825,559015.2553
116189.4756,559053.3043
116238.956,559090.2232
116288.406,559126.8828
116339.2711,559164.4724
116388.9928,559201.2292
116438.6385,559238.0012
116488.8094,559275.3188
116538.2128,559312.2948
116588.559,559350.2979
116638.2863,559388.1924
116683.8486,559434.461
116733.2036,559473.002
116783.6371,559514.4951
116833.7596,559554.6424
116887.6372,559592.6916
116940.5509,559628.7092
116990.5165,559670.5444
117039.6463,559712.4882
117090.1566,559755.9075
117139.0407,559798.8926
117187.2967,559841.8208
117236.9175,559886.3753
117286.8859,559931.8088
117336.1534,559977.0599
117385.4534,560022.7475
115185.9914,558040.5031
115236.0131,558114.0865
115386.4426,558314.039
115436.3444,558374.1039
115486.5511,558431.7374
115537.3441,558487.4007
115587.4009,558539.9195
115629.15,558597.4305
115679.8413,558646.4475
115729.9618,558693.0916
115780.6275,558738.6016
115838.6797,558774.5987
115889.0536,558817.0904
115938.8512,558858.0099
115989.4152,558898.544
116039.0431,558937.5466
116089.8723,558976.7374
116139.4132,559014.4466
116190.0295,559052.4717
116239.5372,559089.4095
116289.0162,559126.0906
116339.8358,559163.6471
116389.5721,559200.4141
116439.2365,559237.1997
116489.3984,559274.5107
116538.8332,559311.5105
116589.1612,559349.4995
116638.9029,559387.4051
116684.412,559433.6348
116733.801,559472.2
116784.1998,559513.6683
116834.3158,559553.8114
116888.1386,559591.8264
116941.0482,559627.8416
116991.0156,559669.6779
117040.1913,559711.6497
117090.6747,559755.0522
117139.6175,559798.0758
117187.9653,559841.0772
117237.606,559885.6501
117287.5761,559931.0852
117336.8822,559976.3752
117386.219,560022.1042
115186.7697,558039.8751
115236.7902,558113.4571
115387.1958,558313.3812
115437.103,558373.4524
115487.2983,558431.0728
115538.0472,558486.6896
115588.1009,558539.2053
115629.8784,558596.7454
115680.5313,558645.7237
115730.6452,558692.3615
115781.2738,558737.8386
115839.3086,558773.8212
115889.6617,558816.2966
115939.4706,558857.2248
115990.0032,558897.7352
116039.6518,558936.7532
116090.4349,558975.9107
116140.0013,559013.6378
116190.5834,559051.6391
116240.1185,559088.5957
116289.6264,559125.2984
116340.4005,559162.8218
116390.1514,559199.599
116439.8345,559236.3982
116489.9874,559273.7025
116539.4536,559310.7262
116589.7633,559348.7011
116639.5194,559386.6177
116684.9754,559432.8086
116734.3984,559471.398
116784.7623,559512.8416
116834.8719,559552.9803
116888.6399,559590.9611
116941.5455,559626.974
116991.5147,559668.8113
117040.7362,559710.8112
117091.1928,559754.1968
117140.1943,559797.2589
117188.6339,559840.3336
117238.2946,559884.925
117288.2663,559930.3616
117337.6109,559975.6904
117386.9846,560021.4609
115187.5479,558039.2472
115237.5672,558112.8276
115387.949,558312.7234
115437.8617,558372.8009
115488.0455,558430.4081
115538.7503,558485.9785
115588.8008,558538.4911
115630.6069,558596.0603
115681.2213,558644.9999
115731.3285,558691.6313
115781.9202,558737.0755
115839.9375,558773.0437
115890.2699,558815.5028
115940.09,558856.4397
115990.5913,558896.9263
116040.2605,558935.9598
116090.9976,558975.084
116140.5895,559012.8291
116191.1374,559050.8066
116240.6998,559087.782
116290.2366,559124.5061
