Type_loc,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
RMSE_Loc1,0.0012828271823543125,0.0050938356869464907,0.041108457789974573,0.077695512038368442,0.1037655613892083,0.04941525818499503,0.43103840842813446,0.4794245514634361,1.1288227438316134,0.71325049483220992
MAE_Loc1,0.018072810323097425,0.012949380141141149,0.041221061534457405,0.083932834388808594,0.11053192854539419,0.077239514721359023,0.3254513219281297,0.33837778065576207,0.83723109767644666,0.53475163571891215
RMSE_Loc2,0.0086627700203031344,0.020445483235057686,0.037743951020734662,0.030701723462324002,0.067855517615754535,0.05586644048685168,0.11758402398551182,0.11414104514762795,0.15697926007420504,0.15499835280829158
MAE_Loc2,0.22473252970877472,0.2095815097156245,0.17050200899176493,0.19625769888176703,0.088794317885887208,0.25521212764491613,0.0040498456979332076,0.26641750671496695,0.099263624061931122,0.54851497211025502
RMSE_Loc3,0.063453071073293427,0.03310087252603592,0.022097436221400479,0.026523425911069248,0.018559932350800834,0.046627017563340901,0.060302978013468463,0.094022897988501664,0.098600193410698755,0.13161639661534313
MAE_Loc3,0.16344220036971124,0.17389573773872527,0.12600307749376372,0.28290473552268419,0.071818152648136069,0.30544294550546064,0.032283855859807531,0.46669150541420773,0.010679990130063821,0.36854976568622061
RMSE_Loc4,0.019856246093407998,0.013276464374954479,0.043531933596361511,0.033263100983887406,0.070655380736429241,0.063397894322731879,0.13537307058259301,0.11718437826359948,0.18422162882949994,0.15718000307180061
MAE_Loc4,0.26200392072627887,0.1825773167311554,0.31279292780043044,0.26402682971319902,0.30034258670511282,0.22891785157373909,0.15543247450434827,0.41981575238742286,0.24860517795106762,0.35252379558367003
RMSE_Loc6,0.022891767030666477,0.024940574275067608,0.053197589673239482,0.042625936197534943,0.082680821306998123,0.069616952627043913,0.13134109731290086,0.12478263060647087,0.17298119618180341,0.16813693750413075
MAE_Loc6,0.27742137894006108,0.24270086021315071,0.41848605957863666,0.24289093653740088,0.51145596427575446,0.306261887763501,0.32377236039430035,0.41366635271239144,0.77215912863490255,0.72121216204899075
RMSE_Loc7,0.0066553237145751121,0.0062328250498369098,0.021498058496036199,0.022343055825512603,0.060638470151323842,0.058919299067176661,0.12134918858624377,0.11511450753570174,0.16360783812061169,0.15889553380407254
MAE_Loc7,0.210364286515276,0.22866053155102256,0.19976361855046976,0.26805355725090807,0.15191159793767417,0.29228078478506692,0.064514783330618775,0.17562819831185839,0.03533139933691043,0.3983099605278615
