Type_loc,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
RMSE_Loc1,0.0087027137396360477,0.016601669759658905,0.052046798114344428,0.099780385496366683,0.13052877661750628,0.12362413294996923,0.25292526516371394,0.28515831919447687,0.88091936243106628,0.58051707003073272
MAE_Loc1,0.017800919513818101,0.022447169014108457,0.050919254062211892,0.10369024242081631,0.13550172858973994,0.14170901438079059,0.21152264703634585,0.22378855510243192,0.63755800258346718,0.45033268321304371
RMSE_Loc2,0.012718844416400477,0.021923638664348228,0.047026781698245562,0.039142393566342117,0.081312550899130587,0.065044807139261626,0.13253045165566885,0.12468690099055069,0.1742826645079858,0.17048464012712403
MAE_Loc2,0.2609298661718587,0.24997774382505777,0.30674227675894888,0.29219921297601742,0.2787589560354895,0.33250378871733155,0.13031277284786991,0.23476062942905865,0.18462849391205971,0.51756337921779771
RMSE_Loc3,0.061932091167848341,0.031528728118293554,0.019055476410510086,0.03254068421465256,0.025512705760966758,0.057565413028660632,0.071232524120279306,0.10899119177030546,0.10993339945881808,0.14775500263795108
MAE_Loc3,0.18870810608857408,0.21796543243893426,0.21690907290873396,0.28023661341857237,0.20529976988391674,0.34662409493202734,0.12205643294561042,0.45586961750674343,0.23247736118441689,0.50657512269024663
RMSE_Loc4,0.023329688756170669,0.016424772514988729,0.052983780512136536,0.044643480499330285,0.081694584689519817,0.075384812919742361,0.14369713315762245,0.13123276285547883,0.19329425829849833,0.17390132779022463
MAE_Loc4,0.28838056744771862,0.23247549806989395,0.42770213977198368,0.27036199967852981,0.52423677049859863,0.29820169365017135,0.30233813549448452,0.3916645254604707,0.61451732846046614,0.3647673335521176
RMSE_Loc6,0.02768090674533466,0.027746875735691876,0.060265887241831934,0.049384733618872315,0.09532726615437534,0.080232171563579202,0.14524339243152573,0.13625929326659172,0.18725816829066466,0.18109568717675942
MAE_Loc6,0.30385423979902448,0.27145840974332225,0.47396929604778942,0.36461717904963153,0.68501710464866039,0.40195647430933434,0.48772419442574583,0.37489219750875702,1.2141044883578225,0.7885488010050451
RMSE_Loc7,0.00124271838454032,0.00097443631285037968,0.032323269156105811,0.03285983329948565,0.069123184521639125,0.068818157789493711,0.13162406538112775,0.12642559655932992,0.17924106307988186,0.17246305717777163
MAE_Loc7,0.24925907341366282,0.26030321143187057,0.32406574322034831,0.37565286626170419,0.34035223846816409,0.48755523917545501,0.18922654603501887,0.30867854021620067,0.3482563515718935,0.77403600024547348
