Type_Loc,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
RMSE_Loc1,0.029154230284739457,0.02796365004681273,0.04078468093419324,0.071345690540310813,0.092447964537108795,0.28576390659409623,0.6723447026633399,0.79343928997414837,1.2684427349835981,0.70754152985192109
MAE_Loc1,0.032873802103069644,0.022987313033189141,0.036715394924120466,0.059123107224549679,0.068920075523447352,0.24363886713111318,0.59410675853872985,0.58075516786734027,1.0318704276133599,0.56989341831247831
RMSE_Loc2,0.00010264873903276239,0.019978872973875985,0.030465066448690348,0.030081605885756733,0.048825487242704357,0.04398252212601441,0.058789993595870005,0.051143763461291618,0.074848795306026839,0.058901335018046695
MAE_Loc2,0.011951979541453328,0.093190780968116727,0.29956645864490206,0.28248901222720191,0.18139119977265672,0.19948676682715308,0.37823074379276256,0.42631973324865857,0.27903148394304411,0.45647397198635536
RMSE_Loc3,0.084616051414462629,0.034652820248572656,0.070901295958786914,0.036367283314846455,0.055941343305666691,0.039647558186946118,0.034638451167206541,0.044227488406275883,0.01669333642694093,0.048962920862337278
MAE_Loc3,0.088613438038815495,0.12301601001355345,0.33644678581896753,0.38408058210809681,0.17711906589023041,0.36385249271839731,0.24179610570757615,0.53354550729233563,0.2096391815826375,0.36727316503879415
RMSE_Loc4,0.0021769259830996812,0.0056548099172207128,0.029366496650938906,0.019956140272469499,0.056413005005809924,0.035341815610755375,0.079261854642043494,0.050151382238739557,0.094951040010730015,0.060637508133345681
MAE_Loc4,0.031525509182631195,0.09629518656248974,0.1818706078890675,0.40847687762309559,0.092157247849254498,0.36225070637115142,0.032348341156046123,0.6671884318987058,0.09731574374501939,0.43492277797565776
RMSE_Loc6,0.0071523471275164729,0.048950742902055887,0.040453637635868844,0.075083205204826017,0.072902313504680905,0.1012829113613114,0.092096840699518678,0.1065940812847542,0.12506370283858387,0.12129263694340864
MAE_Loc6,0.093531279896104325,0.079489752934331456,0.011926353854439629,0.18339987173013989,0.043785711779046554,0.14216827363455195,0.080927088868037123,0.3798947147483257,0.25988094099603071,0.45199737534072776
RMSE_Loc7,0.005371900577514771,0.0046787943831258783,0.024064904770156909,0.025451117158934708,0.047122557722572511,0.045585092651837494,0.062133442966661456,0.066878192612846193,0.061948267950649005,0.078766446751013658
MAE_Loc7,0.006190894613254172,0.028694530783485883,0.24862758313873856,0.14087336718211507,0.13341041332296721,0.085470097153075963,0.14421930312948761,0.114424186125895,0.17439205700772575,0.26238469345417426
