Image name,RMSE (Multifrac),MAE (Multifrac),RMSE (Multifrac sub4),MAE (Multifrac sub4),RMSE (All Trend),MAE (All Trend)
Loc_1_1.jpg,0.69287531102938205,0.51987412697577551,0.5994960574806768,0.44613406879580142,0.65347155907396071,0.53958305613924351
Loc_1_2.jpg,0.50245987824978067,0.31922979217572445,0.40237229306005762,0.26051310477101836,0.59099076605655176,0.44573184001204602
Loc_1_3.jpg,0.47112337191317172,0.30308976508272412,0.36105989578307829,0.24308044934974715,0.57356328888414665,0.39892283804102691
Loc_1_4.jpg,0.52447337656025927,0.33721393791943943,0.40872039784176117,0.27209418421301368,0.61216254288799588,0.43327258129310131
Loc_1_5.jpg,0.47579883577899251,0.30637764624086639,0.36482943934954043,0.24536228095062906,0.56870549535199566,0.39431497675577709
Loc_1_6.jpg,0.080699375482801039,0.057773322398343631,0.137723306254735,0.11822552487843593,0.19626455563411702,0.13308753546598368
Loc_1_7.jpg,0.082461792180223092,0.057902963964121555,0.14100790708016347,0.12209981393080553,0.1965182247920573,0.13260228068502281
Loc_1_8.jpg,0.3787031982727227,0.24911052309748144,0.27721244697343589,0.19303603897865901,0.50414451175778674,0.36983461372389187
Loc_1_9.jpg,0.3402876377958175,0.22881021728127057,0.2253593092041381,0.16604645625865766,0.43445834532536154,0.28702253583261611
Loc_1_11.jpg,1.4125972795130612,1.2341194300809994,1.3660704805949302,1.195679144219999,1.1186860397180955,1.0192915052977618
Loc_1_12.jpg,0.44087708073825721,0.27762328320984542,0.34960354685212186,0.22720502222669769,0.53474146031156944,0.40544510742439022
Loc_1_13.jpg,0.37251067364742868,0.24675719523159939,0.26181914380027821,0.18665425897866933,0.48556168847586495,0.33054302428307841
Loc_1_14.jpg,0.38748205153682569,0.25638493129637263,0.27530479380809203,0.19465078126553856,0.4819536167462814,0.31906791014483782
Loc_1_15.jpg,0.37967359518290389,0.25508500750891583,0.26647043453896491,0.19303434393327706,0.48232261794041842,0.32057262926115582
Loc_2_1.jpg,0.66829330993651404,0.30273220776347437,0.31960514026215125,0.31960514026215125,0.64528446017617203,0.38554191033557422
Loc_2_2.jpg,0.63979910421792041,0.30253056262956701,0.30298670536734934,0.30298670536734934,0.6323949077180463,0.37443545252917981
Loc_2_3.jpg,0.64185748230502249,0.27836031188769017,0.32254852236910919,0.32254852236910919,0.61461921772786621,0.324034795728674
Loc_2_4.jpg,0.61692241898819955,0.34206771871498592,0.34895307775730916,0.34895307775730916,0.65005478831053942,0.41452982881327038
Loc_2_5.jpg,1.0888846844517999,0.49518594618626155,0.54083968284070205,0.54083968284070205,0.89022155924623925,0.39052341319420808
Loc_2_6.jpg,1.0864519126445971,0.49700586882415332,0.54439271174404413,0.54439271174404413,0.89028098808524792,0.38723408549270377
Loc_2_10.jpg,0.57737748911403131,0.26196097029682652,0.28019687418594941,0.28019687418594941,0.60856762000920772,0.36015590420988791
Loc_2_11.jpg,0.5662738154669642,0.25760329012312166,0.28089831790222136,0.28089831790222136,0.60781100704391466,0.37767128839291553
