Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95,Description
Loc_3_1.jpg,0.79193944259280857,0.87387888518561707,0.97220621629698734,1.1795245071789915,1.3024190816283912,1.7939973794259905,3.08982511097157,3.680028355490391,4.4031226935647476,6.2015613467823734,Top (50.6 cm)
Loc_3_2.jpg,0.2174867005517333,0.25272341142518118,0.27735646388590657,0.32228795143438121,0.35426862638172163,0.5702158622379222,1.5220517958957616,2.1477455957304818,3.1644020046970924,4.0541000551306325,Top (13.0 cm)
Loc_3_4.jpg,0.26676609024741471,0.28353218049482942,0.30573712650446855,0.35315354627134027,0.37728365333400349,0.50302711444465775,0.99510007086072005,1.5534738874932081,1.929134112139443,3.2089403073171221,Scraped top (20.1 cm)
Loc_3_5.jpg,0.18163715404691896,0.21267323560986953,0.24991653348541021,0.28285938118319981,0.3012500706723521,0.4044777545443512,0.79934066682147287,1.3032349118622357,1.796611344314277,2.9591307482020346,Scraped top (10.7 cm)
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
