Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95,Description
Loc_1_2.jpg,0.30809966147030371,0.34614702395193775,0.44455152754506294,0.56230112009784905,0.62967021790505995,1.0065804379352834,1.8150723665663206,2.4395751856294274,3.2432569984256148,3.912991842422437,Top (19.3 cm)
Loc_1_3.jpg,0.23246724945886074,0.28939839432024173,0.36508173978946257,0.48480221482511959,0.56833181128181098,0.95223322140846522,1.7934478510178236,2.4187313301154925,3.2298607029828492,3.9058018470389793,Top (12.6 cm)
Loc_1_4.jpg,0.23114658958488207,0.28410839490748019,0.37139445445545666,0.5134098556014054,0.60143654144919256,1.0140956763666142,1.842758700676022,2.5326277900865493,3.2834819823662489,3.9091938092659984,Top (10.3 cm)
Loc_1_5.jpg,0.2270013296586891,0.28172459196234434,0.35737884542779302,0.48402329136002714,0.56820969423535161,0.95991068978096517,1.790862860702449,2.3958079144845734,3.2208229860629034,3.9083355457115112,Top (6.35 cm)
Loc_1_6.jpg,0.2227072193955722,0.2629934661119705,0.30763874479149167,0.4016500676407096,0.47372373345752361,0.77475430113251809,1.5042849298282293,1.8367577612323851,2.3362827546526375,3.3997605902555259,Scraped top (15.7 cm)
Loc_1_7.jpg,0.21759214427167625,0.2584413457891383,0.30050542504458433,0.41018715225979463,0.47798395633940938,0.7705389056591333,1.5085690806732914,1.8373521615844959,2.3318345053307499,3.4038373030868114,Scraped top (11.3 cm)
Loc_1_8.jpg,0.28160668874066364,0.33176164523867785,0.40270708396299626,0.51500318260778211,0.58408895665555283,0.94612355975961626,1.7500995589124027,2.2187729753802401,3.0946192755153024,3.8244911922945208,Top auto-hdr (18.4 cm)
Loc_1_9.jpg,0.21491021095486845,0.26053556924233251,0.33567993150042302,0.44411532932412284,0.51708187203145595,0.88318679038682057,1.6908850338760293,2.0423581970791251,2.9762001952694934,3.7544018604281337,Top auto-hdr (9.44 cm)
Loc_1_13.jpg,0.22613624486691397,0.28000562904413734,0.34975270493178373,0.46055329772979742,0.53635080722434114,0.90593673173703249,1.7256119506297796,2.1903381859906101,3.073042762646141,3.8086299098590835,Top flash (12.6 cm)
Loc_1_14.jpg,0.22014911117893954,0.26318442308866097,0.33028623944293184,0.43999273804146605,0.5127922479880066,0.89563090643399024,1.7223543638640173,2.1773325693305932,3.0685864558885072,3.8112980280201016,Top flash (12.7 cm)
Loc_1_15.jpg,0.21623858446773037,0.26031248886175407,0.32333371877816219,0.4521860397766424,0.51885307980758322,0.90219878079986504,1.7233622790789846,2.1768652171820366,3.0681837325982713,3.8109491621117995,Top flash (9.16 cm)
