Image name,0 mm,0.063 mm,0.125 mm,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm,8 mm
T01_01.jpg T=120,0.0,2.533588050913344,3.633082563108785,4.5570833464528056,5.129022946871977,5.347022525169144,5.199992009068861,6.884186215893294,9.815934198075238,5.178737746861889,14.202110172863755,21.902383543953675,12.293902021280402,3.3229546594868533
T01_01.jpg T=135,0.0,2.356244006928628,3.5322826782747487,4.622661789432246,5.367657869847188,5.6621694488689505,5.517435364738447,7.201110991550412,9.748638596157855,4.765933311455331,13.898549154373386,22.468436823383694,12.435208982735825,2.4236709822532987
T01_01.jpg T=150,0.0,2.4662073017370307,3.5710728237585183,4.538036602184733,5.176288915846994,5.401655256883353,5.232035212341881,6.893322178873607,9.840860150304962,5.097793529700923,13.216683875050116,21.60404284651145,13.996720357005598,2.965280949800839
T01_01.jpg T=180,0.0,2.7766848499649117,4.114630827973919,5.3511238835918125,6.040810978673399,6.112091358647147,5.580386884134388,6.673463593376706,8.039692896855133,4.4944735755940055,18.981455206137266,20.181471229217006,10.776688983150883,0.8770257326834268
T01_01.jpg T=210,0.0,2.5948831641312697,3.7532679145547534,4.748526945683979,5.319658405291326,5.4874831593174775,5.26853260245397,6.870501947782472,9.606358765341268,4.982273180700399,13.083190827978369,22.54620152609311,12.845258188749847,2.893863371921746
T01_01.jpg T=225,0.0,2.548878144497101,3.7602377801094016,4.8176118286420655,5.450791561135856,5.640448286253843,5.392787430719426,6.911821211295388,9.27576817839929,4.83308903829978,14.728986879447026,22.218213034581414,11.909992536486996,2.5113740901324086
T01_01.jpg T=240,0.0,2.666570450086911,3.7570846821909236,4.68992444513119,5.216182135016654,5.357433858032496,5.154993873992368,6.734871000997733,9.541293357080546,5.1588525161624155,13.396097070552107,22.55735944098152,12.989535773731374,2.7798013960437684
T01_01.jpg T=270,0.0,3.341627181790753,4.5794984016307065,5.5725087548383065,5.983620913874753,5.863065889305817,5.239688952011743,6.208810699274437,7.686345853816494,4.7531213728540544,19.80508985141121,20.741367848874077,9.305790944584126,0.9194633357335092
T01_01.jpg T=30,0.0,2.574124353833538,3.721222131001972,4.728647670567481,5.313585141812567,5.488199864713738,5.277831365771979,6.894195306712238,9.632052031648671,4.985533583886892,13.055566728244973,22.476131706211948,12.946926894458025,2.9059832211359815
T01_01.jpg T=300,0.0,2.53364906625386,3.63310585793536,4.5570929363416735,5.1290273216746085,5.347023077399956,5.199993114198526,6.884184973250282,9.815894503055274,5.178682598592632,14.202160649018776,21.902390170774016,12.293870915613955,3.3229248158910827
T01_01.jpg T=315,0.0,2.356372969515492,3.5323572896787727,4.622698705587767,5.367682699618111,5.662190823385023,5.51744983194579,7.201106319981951,9.748543677243713,4.7658210997510375,13.899195277692804,22.468592996479764,12.434809503464816,2.423178805654952
T01_01.jpg T=330,0.0,2.6220293241108075,3.729935581838216,4.660242227990906,5.223748623485123,5.394806617911684,5.173137593596782,6.745408112806988,9.590677990216044,5.068571524306361,13.244183964617346,21.660706166822518,13.91817768999359,2.9683745823036323
T01_01.jpg T=360,0.0,2.7708973368678067,4.109269988488221,5.347501716381629,6.0398722021262135,6.113547368772951,5.5839895129339965,6.6796581954154695,8.04542771413667,4.4931817512539975,19.00015915629505,20.168063331890853,10.774261424203242,0.8741703012338807
T01_01.jpg T=45,0.0,2.549319838616484,3.7604834812904864,4.817718596061768,5.4508500795997294,5.6404877579253085,5.3927978854305145,6.9117666238370985,9.275399522246973,4.8327023291568345,14.729173268785658,22.21811484191775,11.909817012133793,2.5113687629975923
T01_01.jpg T=60,0.0,2.6667780710988347,3.7571561614338105,4.689945459260649,5.216188760400608,5.357436528131051,5.154988738715213,6.734843812297045,9.541173623617151,5.158719535758332,13.396167091988456,22.557347596375237,12.98946397635235,2.7797906445712584
T01_01.jpg T=90,0.0,3.3571435724146013,4.591545151707196,5.5782068273455145,5.981417694595352,5.854342104519353,5.228568166464888,6.19495956252619,7.677830816715576,4.7584098346772095,19.804833729929268,20.678195700554074,9.382794109840688,0.9117527287100892
T01_02.jpg T=120,0.0,1.4859027625327632,2.3302160602391795,4.730399179810218,3.8727781992308223,4.372033225923548,7.0311921519357465,6.810427162016382,12.300767820606609,5.832652891821655,13.475697757676823,21.979061275107885,12.998972684527233,2.7798988285711252
T01_02.jpg T=135,0.0,1.2620369538893106,2.088837245644988,4.455099348597873,3.7911208942014514,4.416260144931247,7.3015575066575185,7.19903536465276,12.773934428951366,5.7524231391701655,14.327054444519105,21.710500583785898,12.367578967873216,2.5545609771251065
T01_02.jpg T=150,0.0,1.4744346141984206,2.314330658289136,4.7876897132977,3.949812748617771,4.442287703925388,7.08198929469522,6.805755405568927,12.251346884588655,5.800815310252969,12.031484396398827,21.60384762763768,14.092445887838874,3.3637597546904296
T01_02.jpg T=180,0.0,1.3989745779680902,2.3795435148926334,5.242633561226841,4.4757753176432535,5.107856613047402,8.02337764029404,7.277277720351924,10.85679960512164,4.911470495792027,16.706034573593396,21.338492471439753,11.273382934087186,1.0083809745418102
T01_02.jpg T=210,0.0,1.63756448908106,2.553645481849413,5.133378290798689,4.098879645484925,4.506781300514522,7.014372488526968,6.5935052681993405,11.552003241124602,5.652016567703371,14.539440369399172,21.582848607596173,11.829546683452403,3.306017566269384
T01_02.jpg T=225,0.0,1.3721737257368762,2.2795869027404327,4.819174746270813,4.0126217506773445,4.5639316154720015,7.31756205406345,7.0135845659220495,12.117395497416014,5.601257671357181,14.514108841097345,20.525613513549075,13.83222263449018,2.0307664812072317
T01_02.jpg T=240,0.0,1.4350061642730034,2.3089038730654816,4.758786593215207,3.8957782122465714,4.405916089207952,7.071481393006415,6.833366332121804,12.323374341759946,5.8499396189900414,13.35008886105186,22.8094799036724,12.476355837423082,2.481522779966228
T01_02.jpg T=270,0.0,1.9811646737641195,3.030817038694224,6.0615196019853785,4.752633521639964,5.054451354741456,7.435003143464936,6.405457401304543,9.666451488126741,5.168253017438691,19.445444929825467,20.76448277277521,9.300232926584252,0.9340881296550144
T01_02.jpg T=30,0.0,1.5661379601575578,2.467413663731359,4.991621956860168,4.0235221471229945,4.465808065546726,7.0209822185884745,6.667581505768162,11.808300152067595,5.725858412988755,14.497908735569114,21.532356132804946,11.945541247157893,3.2869678016362585
T01_02.jpg T=300,0.0,1.4860917455474507,2.330271469904636,4.730416644319644,3.872776034405781,4.372030417512471,7.031189036431128,6.810416948106522,12.3006640247291,5.832502782808748,13.475694693253008,21.979017883261555,12.998941669797013,2.7799866499229555
T01_02.jpg T=315,0.0,1.2624709814281152,2.089041794730276,4.455188972755266,3.7911289783644313,4.4162579307119865,7.301550699433049,7.199014026858357,12.773672310747713,5.7520158681416085,14.327331283196385,21.71040708750714,12.367224863901123,2.5546952022245484
T01_02.jpg T=330,0.0,1.554252073180269,2.41203197304387,4.939381892719343,4.039554970005306,4.503357318389073,7.091920000520783,6.730887188456867,11.958303769599908,5.690757197099197,11.97885439025056,21.591670705664168,14.122627561034898,3.386400960035761
T01_02.jpg T=360,0.0,1.3988223927543575,2.3795427763736203,5.2427876460538565,4.475613892169769,5.107139463342014,8.021931653556413,7.2762536013452825,10.857608678994902,4.9143581297826175,16.74628888538234,21.35065753402539,11.236001216526883,0.9929941296925644
T01_02.jpg T=45,0.0,1.3723777191639053,2.2796827890011366,4.819215424869402,4.012623895932869,4.563924859165903,7.31754949457672,7.013566365967589,12.117260112843411,5.601090524903467,14.514186926072671,20.525567883611146,13.832132673953225,2.0308213299385587
T01_02.jpg T=60,0.0,1.4350999524617645,2.308930098034688,4.758788017029096,3.8957751655211132,4.405907340609742,7.071454658055985,6.833337455206349,12.323324291059382,5.849921742091652,13.350106074239733,22.80945942973357,12.476354863199315,2.4815409127575907
T01_02.jpg T=90,0.0,1.98545043368493,3.0335231960669837,6.063735716779277,4.7528229552305685,5.052944878118918,7.4304707581973455,6.400270199020957,9.660485064549958,5.171701387306426,19.43411400117737,20.77923468215037,9.285700965093424,0.9495457626234576
T01_03.jpg T=120,0.0,2.4327543668514235,3.6253886517249767,4.5907475129501645,3.5979517124844778,5.858650267403827,5.9228733523963975,7.147688648357768,10.912918236283971,4.75732816076106,13.130102725269715,19.87302527661224,14.427735166310407,3.7228359225935854
T01_03.jpg T=135,0.0,2.35278669278391,3.579844313115712,4.69234524128556,3.720124365652746,6.040681262418207,6.071903914386683,7.280276169888607,10.69380638290923,4.595205818325305,13.514497893169935,19.187957525864604,14.73029537123008,3.5402750489694186
T01_03.jpg T=150,0.0,2.617680050526817,3.8679942190612047,4.952991149297126,3.8193539586246814,6.074433808925395,5.984780473463878,7.050456757996942,10.325416138813896,4.424615324074415,12.059147946377196,21.14027936775497,14.119489610223436,3.56336119486005
T01_03.jpg T=180,0.0,3.3674851226286453,4.912088102050598,6.090950220792776,4.428929729722502,6.5877804959330275,5.924872077438178,6.2208335445161485,7.892216522743173,4.035887970558745,18.91707690070268,19.990412302115367,10.388945741878414,1.2425212689197591
T01_03.jpg T=210,0.0,2.858659943038956,4.129482281929064,5.108086338310671,3.835307167106429,5.980967130209327,5.779588067717903,6.718843402087625,9.998359974094942,4.590057980365272,12.91006636422962,20.6242920471447,14.09183331370861,3.3744559900569
T01_03.jpg T=225,0.0,2.7965695527038377,4.094212070167943,5.144887042319019,3.909432575494,6.154586106192367,5.965935617701228,6.8699525844495595,9.771926326517402,4.338065375647263,12.842376563071568,21.168488774933408,13.92422894054808,3.0193384702543367
T01_03.jpg T=240,0.0,2.8806435080143684,4.114420851211982,5.078459186125341,3.7963584852998222,5.91542009483137,5.750979520339861,6.730586239521505,10.042467975873413,4.569490015875834,13.20204266419191,20.34673890966488,13.967667847802373,3.6047247012473567
T01_03.jpg T=270,0.0,4.277732581159112,5.561721902113925,6.265536886048138,4.266187059819082,6.086315136831398,5.3203787424821565,5.56848904581962,7.5895524981560625,4.3765283017117484,20.20940319718795,19.875282844489814,9.5985268012225,1.0043450029585062
T01_03.jpg T=30,0.0,2.8498130722299337,4.123023091838991,5.110292624537568,3.8383015428970526,5.9891284882326135,5.792379673933215,6.737205105746592,9.98870457140274,4.567311005714579,12.818994194737739,20.62013495013905,14.164409013922258,3.400302664667669
T01_03.jpg T=300,0.0,2.432834263632561,3.6254069127751407,4.590757056840999,3.5979603137823704,5.8586657739786245,5.922886437796624,7.1476954243862645,10.912884802866442,4.757266268873304,13.130361611341627,19.87305986959802,14.427546250439534,3.7226750136884914
T01_03.jpg T=315,0.0,2.353007448642431,3.5799170651407657,4.692357592410192,3.7201214128160576,6.040679596854905,6.071898194343567,7.280243844648236,10.693633981001746,4.595055503750968,13.515123045793796,19.188127995111497,14.72933282970141,3.5405014897844223
T01_03.jpg T=330,0.0,2.6553345216313398,3.9062818665539485,4.9879969999829665,3.8301065442238618,6.072953816844742,5.967838793853932,7.011663541278847,10.243874005594364,4.406643462742581,12.292671911193366,21.087184107821415,13.9537104549855,3.583739973293116
T01_03.jpg T=360,0.0,3.3364897884253994,4.8847349510521605,6.075428336024762,4.42882005431414,6.599806873898557,5.94546204016513,6.248748435457282,7.919601067623034,4.030190593122613,18.896838379913735,20.093050717786536,10.298495200871523,1.2423335613451203
T01_03.jpg T=45,0.0,2.796514305850065,4.0941931655443815,5.144887212945872,3.909440147821084,6.154597398708056,5.9659426581895,6.869964252124864,9.771951801252658,4.338057497328869,12.84251840751774,21.16862858280214,13.924051768320416,3.0192528015943663
T01_03.jpg T=60,0.0,2.8805813669884848,4.114412236349313,5.078466953722528,3.79636697494016,5.915437779517009,5.751001173796435,6.730614351981018,10.04249931000516,4.5695053102917615,13.202096312430804,20.346746215745746,13.967835993029384,3.604436021202188
