Image name,5 Percentile,10 Percentile,16 Percentile,25 Percentile,30 Percentile,50 Percentile,75 Percentile,84 Percentile,90 Percentile,95 Percentile,Description
Loc_1_1.jpg,0.13893815312561741,0.19997053500362916,0.26371239768037535,0.3446174786116285,0.38339273317545791,0.50608662127052628,1.2537250230240637,1.7972805108878362,2.4262510690065189,3.358769432347064,Top (34.2 cm)
Loc_1_2.jpg,0.12743781077453917,0.19875055020596,0.26659502370748883,0.34768905498527947,0.38562662874143666,0.5028324603035077,1.3067951626700165,1.9044900748181124,2.5887249274010466,3.5217336235200176,Top (19.3 cm)
Loc_1_3.jpg,0.12169307559142223,0.19343961822137992,0.25998694232214681,0.33924983336885034,0.37632923638266336,0.51730202349229115,1.3615040659679702,1.9634447472293781,2.6466256805172814,3.5501953110573288,Top (12.6 cm)
Loc_1_4.jpg,0.11607665628183708,0.18310523731979439,0.24596540841203685,0.32273411375830197,0.35959346578972978,0.54998571374945171,1.3852138237572844,1.963026988876154,2.6170361451337425,3.5023521512728757,Top (10.3 cm)
Loc_1_5.jpg,0.1176584343653877,0.18771439106737309,0.25363833435543326,0.3334995776404166,0.37123746017120318,0.52161349350990371,1.3362036283851599,1.9158872011089711,2.5852422323023929,3.5210169348963158,Top (6.35 cm)
Loc_1_6.jpg,0.13278026228964418,0.21134349951614506,0.2848791639684089,0.37111532247045759,0.41116598930664555,0.53764271866536273,1.104894002607324,1.5844527223298561,2.1471815782476416,3.0493092540639011,Scraped top (15.7 cm)
Loc_1_7.jpg,0.12398552574887929,0.20071112562884563,0.27389048112688974,0.36183014978596906,0.40323524897145191,0.53397710445611191,1.0998673947944475,1.572050802103218,2.1381298230876173,3.0624884439084288,Scraped top (11.3 cm)
Loc_1_8.jpg,0.12841526938587378,0.20228881919203459,0.27239307349273345,0.35591970002623308,0.39465107966020835,0.51460685204035039,1.2443883510449696,1.8102672140200904,2.468307266026561,3.399617657791056,Top auto-hdr (18.4 cm)
Loc_1_9.jpg,0.12435292889389496,0.19780324554332659,0.26569218092796387,0.34667040972760604,0.38459262103699049,0.50397266441371358,1.2825234233505143,1.8411232747156268,2.4968171417050842,3.447761399776343,Top auto-hdr (9.44 cm)
Loc_1_11.jpg,0.17424337448220928,0.1989829917502024,0.24985652327747329,0.32081483658418447,0.3564963252626121,0.55864833275011971,1.3834120966333603,1.955474894020244,2.6066898302709256,3.5094424073290442,Top flash (58.6 cm)
Loc_1_12.jpg,0.12506109722852252,0.19636354337580619,0.2649972717632077,0.34762326744392874,0.38631584048944451,0.50679945634248968,1.2668464843493916,1.8303910665510057,2.4871199560793338,3.4284225109678292,Top flash (21.9 cm)
Loc_1_13.jpg,0.12725314223491588,0.20215854487697099,0.27050698824739777,0.35111932470674934,0.38863495003167775,0.50422973595333642,1.3054878730126189,1.8887108162283448,2.5554086970978549,3.4733581699604552,Top flash (12.6 cm)
Loc_1_14.jpg,0.12634463645110131,0.20060959344842244,0.26858130208194414,0.34883167497406625,0.38617999802032266,0.50204186278508667,1.3122418447888196,1.8985765421194762,2.5759783734179984,3.5057543185510833,Top flash (12.7 cm)
Loc_1_15.jpg,0.12535326608147881,0.19896814077255798,0.26588538542316154,0.34468527702975804,0.38164779765280915,0.50588503592201028,1.3304075087152871,1.9121945294746012,2.5864649181175121,3.5316767513090479,Top flash (9.16 cm)
Location_1_4.jpg,0.10730826881310014,0.17137713878812136,0.23384136651256168,0.31177379259673765,0.34933846857188017,0.56909704765191838,1.40553596741925,1.9976300438843013,2.6589562960463966,3.5414545757218949,Dried
