Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
R1_A,0.30622181494512835,0.34425917365153497,0.38206106025683439,0.43172372831413042,0.4512713613711441,0.6453046471268622,1.4713700884298222,1.9224334194348351,2.8201509449814908,3.7411875459506798
R1_B,0.34516994345700414,0.39263948103313351,0.42220104526355895,0.46664896309967446,0.49649180062073583,0.66959096987640665,1.4396845438955208,1.8712524243785915,2.6481059529787689,3.6252051923796307
R1_C,0.4155823176049675,0.45277494688742242,0.48949993531985736,0.5425196821847641,0.57170457535890873,0.68844414805548726,1.4257173785952837,1.8869395419998809,2.7174153256515425,3.6629232564031629
R1_D,0.3974906889310213,0.44275671927592208,0.47423301576612031,0.52629307288934657,0.55844950456606213,0.68707523127292391,1.4918568509454766,1.9397686260848903,2.8266512552583354,3.6895878939291937
R1_E,0.41025258657247832,0.44604008889284552,0.47513101959342557,0.52517693852774938,0.55769875665503377,0.68778602916417131,1.5034539537075646,1.9365438571470253,2.8259560045820029,3.7081380693441752
R2_A,0.39023654415420655,0.43643812649682251,0.46380556395788625,0.50749876618347134,0.54271149003909414,0.6835623854615851,1.4608383406268242,1.9254835773936789,2.8726369692662539,3.8301801591139384
R2_B,0.37991778944107185,0.42567695390046767,0.46477617326638643,0.50756703053121288,0.5310824201988692,0.68343361953351456,1.4363800980920356,1.8532182869064737,2.5498003846862938,3.5358573781443132
R2_C,0.38833593228089613,0.43575144491763479,0.46468552863181722,0.51096441708253915,0.54481675238798399,0.68644958962891989,1.4613419577279976,1.8789868678406521,2.652887924303116,3.6176444436965141
R3_B,0.40128087536091017,0.4475025494510908,0.482746685126685,0.53752463864958178,0.56854505067018524,0.6926266987525993,1.5423767058435676,1.9580743980924269,2.8840619342817,3.7516018447513964
R3_C,0.36970413387973383,0.424024105594351,0.45006161093656888,0.48822539209230931,0.51817567379889218,0.68168148641694315,1.4152889621007554,1.8751879434137853,2.7216179664521714,3.7358418327887231
R5_A,0.3372846326217866,0.38052658043149751,0.42120863678084108,0.45938043088274461,0.47974598158606069,0.67920162308921972,1.7075917321100946,2.5227367021401674,3.4330798230328377,4.9531237480392818
R5_B,0.39924317192359782,0.44244915866550438,0.47197003145474647,0.52205125437047584,0.55545116852081922,0.68905082512219262,1.5361103890132175,1.998469162639172,2.9837626699900044,3.8478660230626494
R5_C,0.38682738145266837,0.4392636186426126,0.47223687697023331,0.52597647309834328,0.55887419537645644,0.69046508448890942,1.4993844799903318,1.9344956513433555,2.8577690563742881,3.7810775235859335
R7_A,0.31426332780914279,0.35639223705090106,0.39042007983761007,0.44193280984119798,0.47293294558532589,0.67058468363573054,1.4908991952064794,1.922694733096735,2.8232633385802695,3.7627234915921894
R7_B,0.27659080344674936,0.31176491420391861,0.34734101751067459,0.40084258601867817,0.42968697316654436,0.63037842036307645,1.4232772303402306,1.8829936121540189,2.7162713785965011,3.6798395212160879
R7_C,0.31055744358628556,0.34640557541079681,0.38074540948168079,0.43042933301361685,0.45715599164263604,0.65443068490223244,1.4059902701020746,1.8556475081695445,2.6191107163955509,3.6326089449173247
R7_D,0.28064195390285884,0.31380126436181199,0.35326798081473154,0.40870319391718579,0.43746814367313758,0.64779607848252652,1.4511750486962534,1.8873424603785016,2.7154033440948613,3.6941119389198782
R7_E,0.26431138823069911,0.2952081916074023,0.33250887300954546,0.38999686943360351,0.4228592648567342,0.63878641360838806,1.4356615401435433,1.8668483645971403,2.6181397542615779,3.5931241577599495
R8_A,0.2622964419459789,0.29505678915338707,0.33487405393189451,0.39140850423369034,0.42211863576625142,0.64378974062744176,1.4299831107474716,1.8668473818314149,2.6433995221600748,3.631917672185633
R8_B,0.2490962519535907,0.27774302658234251,0.3133290271051633,0.37949226120478013,0.4190105826737498,0.64454248597900277,1.4085785641237218,1.8589914670750112,2.6294274580677399,3.6215788430175899
R8_C,0.25611739377775389,0.28225364332892189,0.31540816214765144,0.37184839732468239,0.40912488763153115,0.64599703787725082,1.4675591838944573,1.9418888794115547,2.9664494166426358,3.9655850869940066
R8_D,0.2459375316234105,0.27860832366020449,0.31273603342723139,0.37378195303010064,0.41306396341673851,0.63738460999931279,1.3745411837049626,1.8227799857359577,2.5172419920533402,3.5773961553270701
R8_E,0.26754929715014125,0.30064800887582721,0.34066539396231954,0.39606900300661685,0.42768980889383812,0.63140703699731038,1.4078195783106309,1.8474995738040016,2.564261809118404,3.581167104649166
R9_A,0.29391286869993877,0.3343837474024598,0.37211782923597531,0.42058263220086811,0.44522534180597412,0.65210912849674152,1.507391883894275,1.9749007098740192,2.9533640319449623,3.8576323618766146
R9_B,0.3021320046329351,0.34269205496218624,0.38099887788254672,0.42763060086267168,0.45169250220576201,0.65363356609552126,1.586444945448271,2.1848175547550115,3.2346695960732705,4.4983037857494699
R9_C,0.386633032685825,0.43455992420552919,0.45891495195582449,0.4954474935812675,0.53012122523608651,0.6854467594332786,1.4531085682614135,1.8936993034912677,2.7446822334252823,3.7172120939154376
R9_D,0.26759954624940185,0.29899696357346128,0.33239744427782708,0.38966842549915248,0.42416297150307114,0.63131456196987024,1.4581032093050905,1.9222207828710103,2.8699698820458526,3.8409904202398097
R9_E,0.28930638058240638,0.32356688510035841,0.35918418619522452,0.41111677058468832,0.44085155777301577,0.65266533048917519,1.4603164393921866,1.9205478187695464,2.8363641365369343,3.7917009862008166
