Image name,0 mm,0.063 mm,0.125 mm ,0.180 mm,0.250 mm,0.300 mm,0.355 mm,0.425 mm,0.500 mm,0.710 mm,1 mm,2 mm,4 mm ,8 mm
Sample_1,0,0,0.11281933951622065,2.8448231878957388,10.186950182489571,21.240124449724107,30.74259265622436,39.613600770541005,46.801869933812029,61.058615981630155,70.76708815902623,86.055497507055094,95.427117850612618,100
Sample_2,0,0,0,2.9908021483128642,10.443320955535203,21.901386630583691,31.614246969335035,40.657513813791375,47.392697316612832,61.067386968831343,70.396139291134787,85.141325866429497,94.980327186480835,100
Sample_3,0,0,0,2.728901015320035,10.02005875728935,21.109961836999574,30.045304579717548,38.836271892679051,45.17643916386767,58.109979267262453,67.124669693068782,82.362288414304572,93.942008752007595,100
Sample_4,0,0,0.034961052653520855,3.0607559607167949,11.020041918818688,23.18549484891707,32.973952508877105,42.022979027645313,48.916370589083243,63.190112760720957,72.620887406928574,86.973148479045761,95.655764763293547,100
Sample_6,0,0,0,3.5862199849649956,12.422770825007792,25.590059136926126,36.12948365977725,46.258257645817338,53.572247048815768,67.770184666299912,76.93540519252025,89.722979801606655,96.354305242736544,100
Sample_7,0,0,0,2.7782758766617959,9.7157166915283799,21.106096677519453,29.317448195266572,37.828427789989242,44.341520682743393,57.215765906943489,66.389473015439961,81.984743055056668,93.799339271418219,100
