Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
Loc_1,0.23290068792821084,0.28327162116518012,0.34988611918910689,0.46905736676210713,0.54443823720849793,0.90825721872490417,1.7187013083432037,2.1381880062795173,3.0419445444384117,3.7950749929041567
Loc_2,0.21167136323215222,0.24881321286701535,0.29437908157743808,0.37043878886097853,0.41695272534270578,0.68689796437673412,1.3852882052728068,1.7675361749858629,2.1291382298050601,3.3551576561000322
Loc_3,0.22305899311982669,0.26840724000260752,0.31968879369283376,0.40170099713425178,0.45128319753385066,0.7406945781580212,1.5213818400218391,1.8895197109923008,2.6604346511421104,3.6613818745251727
Loc_4,0.20602666399744224,0.2392000063257583,0.28605946315800579,0.3741895787792886,0.43394974199640218,0.73850842347725754,1.5449609382623573,1.9131551829162521,2.7366845215615756,3.6867062343553227
Loc_6,0.14045592715926422,0.20720779980046047,0.24622483633445885,0.31666399642395765,0.35781644731195245,0.60679420420079899,1.2715206422261109,1.713945435405166,2.0504071495394403,3.443238751993746
Loc_7,0.20797465154160596,0.23594930308321191,0.27849414743468337,0.34568749216025757,0.39412149804095237,0.64340016169659442,1.2678152354912946,1.6778635993107547,1.951229175190395,3.1512362360623465
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
