Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
T01_01.jpg,0.22157252146191792,0.2797831672362485,0.3278226152912671,0.4022082279203896,0.4394141816228918,0.59962143001685,1.5664866196245844,1.9377303443982763,3.1198587261633532,8.0,
T01_02.jpg,0.2532337947058377,0.3160000489258005,0.3727169157507858,0.43839259808313896,0.4734117802139928,0.6216493763616098,1.4794464532053082,1.80917539316461,2.2934126507890085,5.931560590421414,
T01_03.jpg,0.2712223110795689,0.29931758772451705,0.3195071352426891,0.3493723401461428,0.3672915828224492,1.0552701661221746,1.7326474051954652,1.9765032112618497,2.8543003038132264,3.68649701497942,
T01_04.jpg,0.19002896635715846,0.2530168014987305,0.30985748985562994,0.37494678827641104,0.4169166134616907,1.0444285595431346,1.6302807003739606,1.8411874710730576,1.981791984872456,3.094303917129885,
T01_05.jpg,0.20470003416889765,0.2610583898965142,0.3101643517611585,0.3564439490463797,0.3761800375881689,0.4532849680181363,1.4865684398404289,1.8611109964260584,2.4933014933403266,3.4196569932452503,
T01_06.jpg,0.2626200301228246,0.3074405997451303,0.34367688503727845,0.4042354689481033,0.4357705446789062,1.1756582009929983,1.7516189891613745,1.9589648729019893,3.032897103077536,8.0,
T01_07.jpg,0.1688179336337331,0.2290085712778148,0.27640931675109737,0.3485065949910547,0.3875302394937629,0.5543394737190748,1.7048137047850191,2.359095393961256,3.3738468102812567,8.0,
T01_08.jpg,0.16230551154621195,0.2064785804560912,0.2481140853596155,0.3193484828103338,0.3594193788214464,0.4911425021406732,1.4785575026316184,1.7827598924632757,1.98556148568438,3.1716588560661765,
T01_09.jpg,0.14853917975270398,0.1973776874516005,0.2440113211829148,0.311384574936328,0.33412911875511336,0.4628732645072257,1.3445960021402454,1.719457615977888,1.9693653585363164,3.1297396788625687,
T01_10.jpg,0.15070069464218788,0.1956082122223852,0.2390893004841145,0.30847356626699624,0.3374487760674736,0.4579992373814822,1.3730773066742044,1.7566675719016718,2.066441171978909,3.208809909401692,
T01_11.jpg,0.18386757625752265,0.25305124522470035,0.3115025950338373,0.3770634981927126,0.4180464746841304,0.6506133162458809,1.6742545215235247,1.968365796197395,3.013882388701276,4.6005674505840055,
T01_12.jpg,0.7244838154417638,0.7389919793754243,0.7564017760958168,0.7825164711764057,0.7970246351100662,0.8550572908447082,0.9275981105130108,0.9537128055935996,0.9711226023139921,0.9856307662476528,
T02_01.jpg,0.20037490345828265,0.2622205900542325,0.3138394529370189,0.3735137321922705,0.4112039003373269,0.6020030840954798,1.6007699343632351,1.9568628302841424,3.4630778721557847,8.0,
