Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
R01_A,0.3277714617650229,0.3753172934695336,0.4242044284721776,0.4885322057756076,0.5248294866991194,0.6711826473014857,1.3062189719532584,1.699398681281884,1.961518487500968,3.0416393341720034
R01_B,0.4278192903926548,0.4523181401637544,0.481716759889074,0.5280470571380497,0.5546644851709263,0.6611341973024328,1.1761852702084448,1.6431419868461192,1.9544464646045685,3.082148506657964
R01_C,0.27896677138872794,0.3407850074995471,0.3905884232678967,0.4584056540617408,0.4959913090963234,0.6393750543743683,1.1835751082044204,1.6482785951669598,1.9580809198086528,3.086610992939227
R01_D,0.38908974858484974,0.4231794971696996,0.455167689400365,0.5029041257515615,0.5331433194610301,0.6541000942989047,1.2017136945353446,1.6569680174385508,1.9604708993740216,3.083984355183004
R02_A,0.3885274007870965,0.4220548015741929,0.4513916248333101,0.4941059085375121,0.5223568072528133,0.6413360833672824,1.0784530423723797,1.6125104420304055,1.9685487084690887,3.1401271383326184
R02_C,0.5195538027394474,0.5391076054788948,0.5625721687662317,0.5977690136972371,0.6173228164366844,0.6955380273944741,1.1897268292354908,1.6557949182272929,1.966506977555161,3.1063773511066657
R02_D,0.43167030200439865,0.4544784180779913,0.4818481573663026,0.5252491642872996,0.5503939813942569,0.6509732498220859,1.0414122364666552,1.5871043601894337,1.9508991093379517,3.1268554880421324
R03_B,0.4091864451727205,0.4451150517571136,0.4792004638083151,0.5302957235048056,0.5586694597316358,0.6721644046389569,1.2070508077513058,1.6707149859306971,1.979824438050292,3.1192981463801024
R03_C,0.4516781388451068,0.4783562776902137,0.5088949108101348,0.5500846478602333,0.5729678351102879,0.6645005841105067,1.0587796910843603,1.5976880773264015,1.956960334821096,3.1309560396969887
R05_B,0.5199948965494346,0.5399897930988693,0.5639836689581911,0.5999744827471734,0.6199693792966079,0.6999489654943466,1.155054902761052,1.6399550253730262,1.963221773781009,3.111772763078474
R05_C,0.4619812198656032,0.4989624397312062,0.5265491459277558,0.5673262473854327,0.5899801926396977,0.6805959736567576,1.180127320464797,1.648886239843706,1.9613921860963117,3.0958822345416723
R07_A,0.1072923122822508,0.2743593648162917,0.34260415690169393,0.4233401415836841,0.4627320895551344,0.6261202541790796,1.202344694105757,1.6626083372929483,1.9694507660844087,3.1039945603143657
R07_B,0.3302284941424044,0.37624184076412254,0.4253369078072447,0.4884430983409706,0.5226818919979817,0.6580237663578717,1.2309686409588014,1.6702107863456273,1.9630388832701773,3.082373799407997
R07_C,0.2675088583227323,0.3312014502439533,0.3855129292273083,0.4523268061517029,0.4868236172926944,0.6379855042722744,1.2044322795478848,1.6568694831175996,1.9584942854974088,3.0807406700271285
R07_D,0.2013038709660458,0.3016551169897041,0.3620208922613201,0.4351903072321583,0.4687291227302807,0.6223346636389613,1.1660592237741672,1.6394902316586568,1.9551109035816503,3.0880709142752547
R07_E,0.3320689071957742,0.3739764558394599,0.4157764709526405,0.4709195430626982,0.500981683135532,0.6424107956846999,1.213180488977588,1.6615528319107506,1.9604677271995257,3.0800564437809363
R08_A,0.21837876097436928,0.3104806741682271,0.37203144538546795,0.4484941675321908,0.485016062200605,0.6371930195813785,1.1756537135911522,1.6457026619174444,1.9590686274683056,3.09493312169886
R08_B,0.0,0.21607538349710648,0.3120009635957623,0.3971440604958499,0.438934988877542,0.5943446552155348,1.0822050992177883,1.6025904311090438,1.9495139857032144,3.106254926293852
R08_C,0.0,0.0,0.2819403246798435,0.382108358268188,0.4284782389315587,0.5931050478513791,1.0989561545565718,1.6087591268673092,1.948627775074468,3.098061437139769
R08_D,0.0,0.2762664976330413,0.3511928658402753,0.4231763909492737,0.4581943221979464,0.6126190999768729,1.1219874095434468,1.6205694983178027,1.9529575575007063,3.098114896490705
R08_E,0.1501311021757621,0.2854409140225941,0.36075389759250215,0.4395595313801758,0.4739326389906766,0.6279970189375669,1.1622360361226989,1.6393909318824438,1.9574941957222745,3.097085262712236
R09_A,0.0,0.0,0.268492382805413,0.3759670011305459,0.4228259830702697,0.5925063022887391,1.0864006188887687,1.6031094712236007,1.9475820394468228,3.1008937753262615
R09_B,0.0,0.10256279701434848,0.2928215945848305,0.388604863255724,0.43250955661022783,0.5984583700070816,1.1055018356230684,1.6107667826654306,1.9476100806936725,3.0953509902466063
R09_C,0.0,0.2438236393967365,0.3281021378460149,0.4175451900585172,0.4554193111218744,0.6141121082556742,1.1360904890532018,1.6276946483224894,1.9554307545020149,3.0991677276161047
R09_D,0.0,0.27430820858879285,0.3469914202800377,0.4206379643722818,0.4577616632848743,0.6105965428050995,1.086094309913197,1.6031571430585645,1.9478656984888096,3.1026590117196564
R10_A,0.316033087300638,0.3674046086503838,0.41524684787072735,0.4720553997071961,0.5027963075433847,0.649352578919162,1.2444597130464137,1.6734363186143326,1.9594207223262785,3.0706798446922074
R10_C,0.2281215925655561,0.3162922094564228,0.3772956339171585,0.44807052382495743,0.4815759577723394,0.6382420261230148,1.2053040404809738,1.6589606145630356,1.961398330617744,3.0882070203718675
R10_D,0.0,0.0,0.29261491217745783,0.3862196257563074,0.4299589548666437,0.5994775672562247,1.1260651284004342,1.6275674079992997,1.9619022610652104,3.114107060105163
R10_E,0.3228436260160606,0.3754496493957799,0.4278694653858193,0.4950743418565119,0.5298859703054737,0.6675978647747118,1.275306877803998,1.692466650268149,1.9705731652442495,3.0817722925623254
