Image name,D5,D10,D16,D25,D30,D50,D75,D84,D90,D95
R01_A,0.27007893740573585,0.30801058449187929,0.3549013946589209,0.42326936569821338,0.46689080215583639,0.81928050316767664,1.3951597496738188,1.6649313093039122,1.8447790157239743,1.9946521044073595
R01_B,0.26204158455222804,0.30535730653269227,0.34828336025770906,0.4085945721444546,0.44072655183470849,0.57223419379696805,1.2387556619702271,1.6791249925954097,1.9727045463455319,3.0746123801798131
R01_C,0.18098997871246567,0.22869423767322941,0.27621253717673422,0.33519176905761772,0.36539219817119972,0.49359448483078061,1.4893745260757778,1.8497655105901241,2.4330504669702187,3.3961499835555045
R01_D,0.18961536513773419,0.245568494826362,0.29909919189838208,0.35865775324364796,0.38759118499850281,0.51419172733552798,1.2547979780417426,1.6548001680723994,1.9214682947595041,2.9810965620622119
R02_A,0.19809755936114806,0.26016286996201848,0.30679602901315128,0.37893231309417758,0.41078124497953056,0.54654819800212973,1.2260282230096151,1.6354824546553663,1.9084519424192008,2.9687853848625267
R02_C,0.23361763864684384,0.29450739400699338,0.35356514071198125,0.40529708499648143,0.43251221125316502,0.77127786519068631,1.1435769702354008,1.5955877290706226,1.8969282349607703,2.9030854646737119
R02_D,0.27563032808279042,0.30533406873663932,0.3304435065633039,0.36629899625279649,0.38433624650788628,0.4565863393251528,1.4902788450724909,1.8440175792742024,2.4206276551260792,3.4559340620497441
R03_B,0.19321018855563679,0.24995808728482469,0.29380412156989466,0.35489657792344392,0.44746833491383375,0.84256155461395532,1.4356501263938823,1.7719254430271234,1.9961089874492839,3.1871554902340518
R03_C,0.26107342640798376,0.30360874086872641,0.342835906711348,0.39523528882659198,0.42341347789232975,0.7648102751907202,1.2879980900164718,1.7007740985652815,1.9759581042644885,3.1979935861684945
R05_B,0.2056485603188464,0.26691844176432861,0.32527579074235896,0.45074371507049238,0.47680346826075598,0.84025019321089911,1.2901161687830462,1.7075301119384181,1.9858060740419998,3.1940165876585924
R05_C,0.27633635887152019,0.32230631756057204,0.36680895436445859,0.42408936212741621,0.45141061799779503,0.56755349908558894,1.0783638645189322,1.5626321490547532,1.8854776720786339,2.8800438570739004
R07_A,0.15607256385917975,0.20294879922695705,0.25366819093186249,0.30849395446762867,0.3408164274275467,0.48821004425588121,1.5062456772121615,1.8333918288778688,2.2951124957030622,3.3368066605467819
R07_B,0.16814218267261452,0.21254787864605981,0.26031730686906418,0.32442806463804946,0.35545241346528195,0.49096032338097662,1.4475060696315434,1.7888257396397316,2.0971357853847441,3.2221587556419982
R07_C,0.15997706471232884,0.20612469282486379,0.25336826483529634,0.31160536894907792,0.34476405075391409,0.4714583553429052,1.4226323151090483,1.8035516491211705,2.2798244676361663,3.3097229715378607
R07_D,0.15402627898936941,0.19949528475309369,0.24841095402035865,0.30732648239199611,0.336948052792229,0.46296502155871783,1.3623112683702681,1.7362837571172316,1.9855987496152072,3.1979865010348187
R07_E,0.17147327354619016,0.2195144356078236,0.26755872001142122,0.32560893320216489,0.35621987680313666,0.47196339814174471,1.4081338212628991,1.8057579984222067,2.324931967199892,3.3381650565099732
R08_A,0.14944739551613512,0.19797636714465039,0.2458313719761403,0.30762606675896137,0.33750197985567376,0.4698214563726345,1.4071702642657185,1.807200309549716,2.3369875187140443,3.3505857662199592
R08_B,0.15074757660818724,0.19663857998153966,0.2470369973977215,0.30062730158510875,0.32873505944625447,0.46064397653109868,1.3753478808254529,1.7442520237327308,1.9901881190042487,3.2158077157694045
R08_C,0.14349132269506995,0.18621344462624284,0.23221854121195035,0.2912190160369435,0.32207398339805882,0.45582710556239359,1.3634339427234332,1.7375433944234016,1.9869496955567136,3.2338977361036254
R08_D,0.15028970108369041,0.19597068161029019,0.2446686817579368,0.30224362167064489,0.3349879367492824,0.45645855352667641,1.3770901853566264,1.8178544632515583,2.4277810054465876,3.3655862281118183
R08_E,0.14831241811008866,0.19429704172080811,0.2404040201032179,0.29994726263489663,0.33406385551772744,0.46669972871495241,1.4109986980010427,1.8385271168761623,2.4858930165439714,3.4200163728652555
R09_A,0.16945323021515446,0.20585044087176246,0.24602435482624821,0.2994501728865025,0.33146009561098144,0.4653423910815826,1.4132686751526913,1.7820251214040708,2.1609349369036304,3.3442310469588352
R09_B,0.14545313351866065,0.18917418880428866,0.23544397152069441,0.29727030007030164,0.3293475588720699,0.46447129605150711,1.4561685206958743,1.8529413447619569,2.5032070893122,3.4475699175137882
R09_C,0.15001245787182332,0.19719773319736,0.24764408990655651,0.31050163949616605,0.3427941051411032,0.4889801313206173,1.4875728113453175,1.8097467963802865,2.1645360412155226,3.3651161476522864
R09_D,0.14970611033069511,0.19861022387808586,0.25005670120205131,0.30229235028600587,0.3341028032303307,0.45658243685352989,1.3274336731845879,1.7162382952986213,1.9754413767079768,3.1938416707099737
R10_A,0.16510105668478378,0.20563075761952249,0.24619630819226485,0.3013481221099793,0.33217519549323948,0.44680474074982734,1.1402456514570858,1.5155770092293852,1.7657979144109182,1.9743153353955287
R10_C,0.14853531654426574,0.19254688104478854,0.2454936902222859,0.3098781511817133,0.34173783231458482,0.46790501988439531,1.4162165833671498,1.8270583552101456,2.4193765147833868,3.3675493865613726
R10_D,0.14543990999509659,0.1916572041769152,0.2420605283712651,0.30776480074887891,0.34001053948516408,0.48394737109815439,1.5317331673916104,1.8823324097517136,2.5597407534212464,3.4990816479765807
R10_E,0.15747743951922646,0.20798296435440769,0.25851051854910639,0.32038559792424193,0.35564606744999627,0.49790732101530732,1.45347552068453,1.7750345640892558,1.9894072596924062,8
